ReportingYear,Sector,License#,TYPEFACILITY,FACILITY_SUBTYPE,Facility Type Group,FacilityLicenseIssueYear,FacilityName,FacilityRegion
2011,Private,MF3048,Hospital,Rehabilition Hospital,Hospital,2010,PROVITA INTERNATIONAL MEDICAL CENTER LLC,Abu Dhabi
2011,Private,MF1589,Hospital,General Hospital,Hospital,2005,AL NOOR MEDICAL COMPANY - AL NOOR HOSPITAL - L L C - BRANCH,Al Ain
2011,Private,MF1974,Hospital,General Hospital,Hospital,2007,NEW MEDICAL CENTRE SPECIALTY HOSPITAL LLC,Al Ain
2011,Public,MF2057,Hospital,General Hospital,Hospital,2007,AL AIN HOSPITAL,Al Ain
2011,Public,MF2058,Hospital,General Hospital,Hospital,2007,TAWAM HOSPITAL,Al Ain
2011,Public,MF2060,Hospital,General Hospital,Hospital,2007,AL WAGAN HOSPITAL,Al Ain
2011,Private,MF2259,Hospital,General Hospital,Hospital,2011,AL AIN CROMWELL WOMEN & CHILDREN HOSPITAL,Al Ain
2011,Private,MF233,Hospital,General Hospital,Hospital,1993,EMIRATES INTERNATIONAL  HOSPITAL - (LLC),Al Ain
2011,Private,MF464,Hospital,General Hospital,Hospital,1996,SPECIALIZED MEDICAL CARE HOSPITAL,Al Ain
2011,Private,MF404,Hospital,General Hospital,Hospital,1980,OASIS HOSPITAL,Al Ain
2011,Public,MF2009,Hospital,General Hospital,Hospital,2007,MARFA HOSPITAL,Al Dhafrah 
2011,Public,MF2046,Hospital,General Hospital,Hospital,2007,DELMA HOSPITAL,Al Dhafrah 
2011,Public,MF2064,Hospital,General Hospital,Hospital,2007,SILA HOSPITAL,Al Dhafrah 
2011,Public,MF2065,Hospital,General Hospital,Hospital,2007,GHIATHY HOSPITAL,Al Dhafrah 
2011,Public,MF2066,Hospital,General Hospital,Hospital,2007,MADINAT ZAYED HOSPITAL,Al Dhafrah 
2011,Public,MF439,Hospital,General Hospital,Hospital,1998,RUWAIS HOSPITAL,Al Dhafrah 
2011,Private,MF1011,Center,Medical Center,Centres (various),1999,DR. AHMED HASSAN FIKRY MEDICAL CENTRE - L L C,Abu Dhabi
2011,Private,MF1046,Center,Medical Center,Centres (various),1999,AMERICAN CRESCENT HEALTH CARE  CENTRE,Abu Dhabi
2011,Private,MF1047,Center,Medical Center,Centres (various),1999,IBN AL NAFIS MEDICAL CENTRE L.L.C,Abu Dhabi
2011,Private,MF108,Center,Medical Center,Centres (various),1993,AL MUSAFFAH AL ALHLI MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1103,Center,Medical Center,Centres (various),2000,ADAM & EVE SPECIALIZED MEDICAL CENTRE L.L.C,Abu Dhabi
2011,Private,MF1124,Center,Medical Center,Centres (various),2003,AMRITA MIDICAL CENTRE,Abu Dhabi
2011,Private,MF1133,Center,Medical Center,Centres (various),2004,MIDDLE EAST SPECIALIZED MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1311,Center,Day Care Surgery  Center,Centres (various),2002,COSMESURGE EMARITES HOSPITAL FOR ONE DAY SURGERY,Abu Dhabi
2011,Private,MF1327,Center,Day Care Surgery  Center,Centres (various),2002,ALMAZROUI HOSPITAL ONE DAY SURGERY,Abu Dhabi
2011,Private,MF1340,Center,Medical Center,Centres (various),2002,AL RAYYAN MEDICAL CLINIC,Abu Dhabi
2011,Private,MF1383,Center,Day Care Surgery  Center,Centres (various),2003,PRINCE MEDICAL CENTRE ONE DAY SURGERY,Abu Dhabi
2011,Private,MF146,Center,Medical Center,Centres (various),1999,CONSULTANT MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1553,Center,Medical Center,Centres (various),2003,AL MARIA MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1566,Center,Medical Center,Centres (various),2005,WELL CARE MEDICAL CENTER,Abu Dhabi
2011,Private,MF1732,Center,Medical Center,Centres (various),2004,LOTUS HOLISTIC ALTERNATIVE MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1740,Center,Medical Center,Centres (various),2004,TOP CARE MEDICAL CENTRE,Abu Dhabi
2011,Private,MF175,Center,Dental Center,Centres (various),1988,ASMAT DENTAL MEDICAL CENTER,Abu Dhabi
2011,Private,MF1798,Center,Medical Center,Centres (various),2005,HOME HEALTH MEDICAL CENTRE L.L.C,Abu Dhabi
2011,Private,MF1830,Center,Medical Center,Centres (various),2005,AL REYADA  MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1838,Center,Medical Center,Centres (various),2005,AL HENDAWY MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1913,Center,Medical Center,Centres (various),2006,AMERICAN EUROPEAN MEDICAL CENTER,Abu Dhabi
2011,Private,MF1931,Center,Medical Center,Centres (various),2006,THE SPECIALIST DIABETES TREATMENT & RESEARCH CENTERE - IMPERIAL COLLEGE LONDON DIABETES CENTRE L.L.C,Abu Dhabi
2011,Public,MF1964,Center,Medical Center,Centres (various),2007,ADNOC MEDICAL CENTER,Abu Dhabi
2011,Public,MF1965,Center,Medical Center,Centres (various),2007,RUWAIS HOUSING MEDICAL CENTER,Abu Dhabi
2011,Private,MF1985,Center,Medical Center,Centres (various),2007,ULTRA CARE MEDICAL CENTER L.L.C,Abu Dhabi
2011,Private,MF1989,Center,Medical Center,Centres (various),2008,ADVANCE CURE DIAGNOSTIC CENTRE L.L.C,Abu Dhabi
2011,Private,MF1992,Center,Medical Center,Centres (various),2007,GULF INTERNATIONAL CANCER CENTER,Abu Dhabi
2011,Public,MF2017,Center,Medical Center,Centres (various),2007,BANIYAS HEALTH CENTER,Abu Dhabi
2011,Public,MF2021,Center,Medical Center,Centres (various),2007,BAIN AL GESREEN HEALTH CENTER,Abu Dhabi
2011,Public,MF2026,Center,Medical Center,Centres (various),2007,JOURN YAFOUR MEDICAL CENTER,Abu Dhabi
2011,Public,MF2027,Center,Medical Center,Centres (various),2007,AL KHATIM HEALTH CENTER,Abu Dhabi
2011,Public,MF2034,Center,Medical Center,Centres (various),2007,AL NAHDA HEALTH CENTER,Abu Dhabi
2011,Public,MF2040,Center,Medical Center,Centres (various),2007,SHAHAMA HEALTH CENTER,Abu Dhabi
2011,Public,MF2044,Center,Medical Center,Centres (various),2007,KHALIFA A HEALTH CENTER,Abu Dhabi
2011,Public,MF2045,Center,Medical Center,Centres (various),2007,SAMHA HEALTH CENTER,Abu Dhabi
2011,Public,MF2051,Center,Medical Center,Centres (various),2007,SEER BANIYAS PRIMARY HEALTH CARE CENTER,Abu Dhabi
2011,Public,MF2062,Center,Medical Center,Centres (various),2007,DISEASE PREVENTION AND SCREENING CENTER,Abu Dhabi
2011,Private,MF2077,Center,Medical Center,Centres (various),2007,K.K.T INTERNATIONAL SPINE CENTER,Abu Dhabi
2011,Private,MF2121,Center,Medical Center,Centres (various),2007,AL RAFA MEDICAL CENTER L.L.C,Abu Dhabi
2011,Public,MF2125,Center,Medical Center,Centres (various),2007,MEDICAL SERVICES ADMINISTRATION OF ABU DHABI POLICE GHQ,Abu Dhabi
2011,Private,MF2132,Center,Medical Center,Centres (various),2009,AL BUSTAN MEDICAL CENTER,Abu Dhabi
2011,Private,MF2200,Center,Day Care Surgery  Center,Centres (various),2008,SAMAYA SPECIALIZED CENTER -SSC-LASER & DAY CARE SURGERY LLC,Abu Dhabi
2011,Private,MF2218,Center,Medical Center,Centres (various),2010,FIRST MEDICAL CENTER,Abu Dhabi
2011,Private,MF2241,Center,Medical Center,Centres (various),2009,PRIME CARE MEDICAL CENTER L.L.C,Abu Dhabi
2011,Private,MF2276,Center,Medical Center,Centres (various),2009,HEALTHPLUS WOMENS HEALTH CENTER L LC,Abu Dhabi
2011,Public,MF2291,Center,Medical Center,Centres (various),2010,ZIRKU MEDICAL CENTER,Abu Dhabi
2011,Private,MF2322,Center,Medical Center,Centres (various),2010,ALQADI MEDICAL CENTER-LLC,Abu Dhabi
2011,Private,MF2340,Center,Medical Center,Centres (various),2010,PRIME MEDICAL CENTER,Abu Dhabi
2011,Private,MF2353,Center,Medical Center,Centres (various),2010,EMERATES HEART CENTER,Abu Dhabi
2011,Public,MF2376,Center,Medical Center,Centres (various),2008,KHALIDIYA URGENT CARE CENTER,Abu Dhabi
2011,Public,MF2377,Center,Dental Center,Centres (various),2008,ABU DHABI DENTAL CLINIC,Abu Dhabi
2011,Public,MF2378,Center,Dental Center,Centres (various),2008,DHAFRA DENTAL CLINIC,Abu Dhabi
2011,Public,MF2380,Center,Medical Center,Centres (various),2008,AL BATEEN FAMILY MEDICINE CLINIC,Abu Dhabi
2011,Public,MF2381,Center,Medical Center,Centres (various),2008,AL ETTIHAD URGENT CARE CENTER,Abu Dhabi
2011,Public,MF2382,Center,Medical Center,Centres (various),2008,AL KHALEEJ FAMILY MEDICINE CLINIC,Abu Dhabi
2011,Public,MF2383,Center,Medical Center,Centres (various),2008,AL MADINA URGENT CARE CENTER,Abu Dhabi
2011,Public,MF2384,Center,Medical Center,Centres (various),2008,AL MANHAL FAMILY MEDICINE CLINIC,Abu Dhabi
2011,Public,MF2385,Center,Medical Center,Centres (various),2008,AL MUSHRIF FAMILY MEDICINE CLINIC,Abu Dhabi
2011,Public,MF2386,Center,Medical Center,Centres (various),2008,AL ROWDA FAMILY MEDICINE CLINIC,Abu Dhabi
2011,Public,MF2387,Center,Medical Center,Centres (various),2008,AL ZAFARANAH FAMILY MEDICINE CLINIC,Abu Dhabi
2011,Public,MF2394,Center,Dental Center,Centres (various),2008,AL MAFRAQ DENTAL CENTER,Abu Dhabi
2011,Private,MF2411,Center,Medical Center,Centres (various),2009,DELMA MEDICAL CENTER,Abu Dhabi
2011,Private,MF2425,Center,Medical Center,Centres (various),2009,AL DAR CENTER - YAS MANAGED BY LIFELINE HOSPITAL LLC,Abu Dhabi
2011,Private,MF2432,Center,Medical Center,Centres (various),2009,AL RAWDAH GERMAN MEDICAL CENTER - L L C,Abu Dhabi
2011,Private,MF2452,Center,Medical Center,Centres (various),2009,MIAMI EMIRATES MEDICAL CENTER.LLC,Abu Dhabi
2011,Private,MF2500,Center,Medical Center,Centres (various),2010,EXETER  MEDICAL CENTER,Abu Dhabi
2011,Private,MF2522,Center,Day Care Surgery  Center,Centres (various),2011,SEHA EMIRATES ONE DAY SURGERY CENTERLLC,Abu Dhabi
2011,Public,MF2528,Center,Medical Center,Centres (various),2010,AL CORNICHE WOMEN'S HEALTH CENTER,Abu Dhabi
2011,Private,MF2588,Center,Medical Center,Centres (various),2010,ALMADINA MEDICAL CENTER FOR SPECIALTY CLINICS LLC,Abu Dhabi
2011,Private,MF2614,Center,Fertilization Center,Centres (various),2011,HEALTH PLUS FERTILITY CENTER,Abu Dhabi
2011,Private,MF94,Center,Day Care Surgery  Center,Centres (various),1993,MAGRABI SPECIALIZED HOSPITAL DAY CARE SURGERIES EYE - EAR - NOSE - THROAT,Abu Dhabi
2011,Private,MF93,Center,Medical Center,Centres (various),1990,AL MAFRAQ MEDICAL CENTRE,Abu Dhabi
2011,Private,MF924,Center,Medical Center,Centres (various),2005,NEW NATIONAL MEDICAL CENTRE-LLC,Abu Dhabi
2011,Private,MF726,Center,Day Care Surgery  Center,Centres (various),1996,OBAGI SPECIALISED ONE DAY SURGERY CENTER,Abu Dhabi
2011,Private,MF636,Center,Medical Center,Centres (various),1997,MEKKAH SPECIALIZED POLYCLINIC,Abu Dhabi
2011,Private,MF605,Center,Medical Center,Centres (various),1996,GOLDEN SAND MEDICAL CENTRE,Abu Dhabi
2011,Private,MF58,Center,Dental Center,Centres (various),1993,AL DANA MEDICAL  DENTAL CENTRE,Abu Dhabi
2011,Private,MF473,Center,Medical Center,Centres (various),1988,TAHA MEDICAL CENTRE,Abu Dhabi
2011,Private,MF469,Center,Medical Center,Centres (various),1980,SWEDISH MEDICAL CENTRE  W.L.L,Abu Dhabi
2011,Private,MF42,Center,Medical Center,Centres (various),1989,AL AMAL MEDICAL CENTRE,Abu Dhabi
2011,Private,MF376,Center,Medical Center,Centres (various),1999,NATIONAL PETROLEUM CONSTRUCTION COMPANY MEDICAL CENTER,Abu Dhabi
2011,Private,MF368,Center,Dental Center,Centres (various),1980,DR.MUNIR SILWADI DENTAL CENTRE,Abu Dhabi
2011,Private,MF363,Center,Dental Center,Centres (various),1980,DR. MOUSA ALSILWADI MEDICAL CENTER.,Abu Dhabi
2011,Public,MF3268,Center,Medical Center,Centres (various),2011,Disease Prevention & Screening Centre- Al Marfa,Abu Dhabi
2011,Public,MF3209,Center,Dialysis center,Centres (various),2011,SEHA Dialysis Services – Al Rahba Hospital,Abu Dhabi
2011,Public,MF3204,Center,Dialysis center,Centres (various),2011,SEHA Dialysis Services – Al Mafraq Hospital,Abu Dhabi
2011,Public,MF3202,Center,Dialysis center,Centres (various),2011,SEHA DIALYSIS SERVICES – SHEIKH KHALIFA MEDICAL CITY,Abu Dhabi
2011,Private,MF3136,Center,Medical Center,Centres (various),2011,EASTERN AL AHLI MEDICAL CENTER,Abu Dhabi
2011,Private,MF313,Center,Medical Center,Centres (various),2004,WELL HEALTH MEDICAL CENTER L.L.C.,Abu Dhabi
2011,Private,MF3125,Center,Medical Center,Centres (various),2011,PESHAWAR MEDICAL CENTRE L.L.C.,Abu Dhabi
2011,Private,MF3084,Center,Medical Center,Centres (various),2011,ALSALAM CITY MEDICAL CENTER,Abu Dhabi
2011,Private,MF3080,Center,Medical Center,Centres (various),2011,AL NOOR HOSPITAL SPECIALITY CLINICS- AL MUSAFAH,Abu Dhabi
2011,Private,MF3056,Center,Medical Center,Centres (various),2011,CAPITAL MEDICAL CENTRE FOR HEALTH SCREENING - L.L.C,Abu Dhabi
2011,Public,MF3040,Center,Medical Center,Centres (various),2011,Medical Center - Ministry of Interior - Ministry Office,Abu Dhabi
2011,Private,MF3009,Center,Medical Center,Centres (various),2011,HEALTHWAY MEDICAL CENTRE,Abu Dhabi
2011,Private,MF3004,Center,Medical Center,Centres (various),2011,AL BUSTAN MEDICAL CENTER - BRANCH,Abu Dhabi
2011,Private,MF2961,Center,Fertilization Center,Centres (various),2011,COSMESURGE & EMIRATES HOSPITAL ONE DAY SURGERY -  Fertility Center,Abu Dhabi
2011,Private,MF2956,Center,Medical Center,Centres (various),2010,AL MUSAFFAH AL ALHLI MEDICAL CENTRE - BRANCH,Abu Dhabi
2011,Private,MF1190,Center,Medical Center,Centres (various),2001,FINE CARE SPECIALIZED MEDICAL CENTRE,Al Ain
2011,Private,MF1305,Center,Dental Center,Centres (various),2002,ALROUDHA DENTAL CENTER,Al Ain
2011,Private,MF1345,Center,Medical Center,Centres (various),2002,EMIRATES INTERNATIONAL POLY CLINIC,Al Ain
2011,Private,MF1908,Center,Medical Center,Centres (various),2005,AL MADAR MEDICAL CENTER,Al Ain
2011,Private,MF1941,Center,Dental Center,Centres (various),2006,NEW UNIVERSITY DENTAL CENTRE L L C,Al Ain
2011,Private,MF1960,Center,Medical Center,Centres (various),2007,DAR ALRAHMA MEDICAL CENTER,Al Ain
2011,Public,MF2056,Center,Medical Center,Centres (various),2007,AL JAHLI MEDICAL CENTER,Al Ain
2011,Public,MF2059,Center,Dental Center,Centres (various),2007,TAWAM HOSPITAL DENTAL SERVICES,Al Ain
2011,Public,MF2075,Center,Medical Center,Centres (various),2007,DISEASE PREVENTION AND SCREENING CENTER-ALAIN,Al Ain
2011,Private,MF2079,Center,Dental Center,Centres (various),2007,FAMILY HEALTH CARE MEDICAL POLY CLINICS L L C,Al Ain
2011,Public,MF2085,Center,Medical Center,Centres (various),2007,AL MASOUDI PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2087,Center,Medical Center,Centres (various),2007,AL HILI PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2088,Center,Medical Center,Centres (various),2007,SWEIHAN PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2089,Center,Medical Center,Centres (various),2007,AL MUWEIJI PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2090,Center,Medical Center,Centres (various),2007,ZAKHER PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2091,Center,Medical Center,Centres (various),2007,OUD AL TOBA PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2092,Center,Medical Center,Centres (various),2007,AL KHAZNAH PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2094,Center,Medical Center,Centres (various),2007,AL NIYADAT PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2095,Center,Medical Center,Centres (various),2007,AL MAQAM PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2096,Center,Medical Center,Centres (various),2007,AL KHABISI PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2097,Center,Medical Center,Centres (various),2007,AL FAQA PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2098,Center,Medical Center,Centres (various),2007,AL SHUEIB PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2099,Center,Medical Center,Centres (various),2007,AL HAYER PRIMARY  HEALTH CARE CENTER,Al Ain
2011,Public,MF2100,Center,Medical Center,Centres (various),2007,REMAH PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2101,Center,Medical Center,Centres (various),2007,AL YAHAR PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2102,Center,Medical Center,Centres (various),2007,MEZYAD PRIMARY HEALTH CARE CENTER,Al Ain
2011,Public,MF2107,Center,Medical Center,Centres (various),2007,AL QUAA PRIMARY HEALTH CARE CENTER,Al Ain
2011,Private,MF2124,Center,Medical Center,Centres (various),2007,AL SULTAN ADVANCED MEDICAL CLINICS,Al Ain
2011,Public,MF2389,Center,Medical Center,Centres (various),2008,NEIMA PRIMARY HEALTH CARE CENTER,Al Ain
2011,Private,MF2426,Center,Medical Center,Centres (various),2009,AL MADAR MEDICAL CENTER - BRANCH,Al Ain
2011,Private,MF635,Center,Medical Center,Centres (various),1996,SPECILAIZED UNEVERSITY MEDICAL CENTRE,Al Ain
2011,Private,MF365,Center,Medical Center,Centres (various),1987,MUBARAK MEDICAL CENTER,Al Ain
2011,Public,MF3241,Center,Dialysis center,Centres (various),2011,SEHA DIALYSIS SERVICES – AL WAGAN HOSPITAL,Al Ain
2011,Public,MF3210,Center,Dialysis center,Centres (various),2011,SEHA  Dialysis Services – Tawam Hospital,Al Ain
2011,Private,MF3180,Center,Medical Center,Centres (various),2011,AL NOOR HOSPITAL CLINICS - ALAIN - AL-YAHAR BRACH,Al Ain
2011,Private,MF310,Center,Medical Center,Centres (various),1982,DR. KHALID ALJAMAL MEDICAL CENTER,Al Ain
2011,Private,MF3081,Center,Medical Center,Centres (various),2011,ROYAL CARE MEDICAL CENTRE,Al Ain
2011,Private,MF291,Center,Dental Center,Centres (various),2001,UNIVERSITY  DENTAL CENTRE L L C,Al Ain
2011,Private,MF2981,Center,Medical Center,Centres (various),2011,THE SPECIALIST DIABETES TREATMENT & RESEARCH CENTRE (IMPERIAL COLLEGE DIABETES CENTRE) LLC - BRANCH,Al Ain
2011,Public,MF2960,Center,Fertilization Center,Centres (various),2010,TAWAM IVF CENTER,Al Ain
2011,Private,MF1328,Center,Medical Center,Centres (various),2002,AL- NOOR HOSPITAL  CLINICS -  MADINAT  ZAYED,Al Dhafrah 
2011,Public,MF2038,Hospital,General Hospital,Hospital,2007,LIWA HOSPITAL,Al Dhafrah 
2011,Public,MF2039,Center,Medical Center,Centres (various),2007,BIDA MUTAWA PRIMARY HEALTH CARE CENTER,Al Dhafrah 
2011,Public,MF2050,Center,Medical Center,Centres (various),2007,ABU AL-ABYAD PHC,Al Dhafrah 
2011,Public,MF2492,Center,Medical Center,Centres (various),2010,DISEASE PREVENTION AND SCREENING CENTER - MADINAT ZAYED,Al Dhafrah 
2011,Public,MF2577,Center,Medical Center,Centres (various),2010,AL DHAFRA FAMILY MEDICINE CENTER,Al Dhafrah 
2011,Public,MF3208,Center,Dialysis center,Centres (various),2011,SEHA Dialysis Services – Madinat Zayed Hospital,Al Dhafrah 
2011,Public,MF3207,Center,Dialysis center,Centres (various),2011,SEHA Dialysis Services – Delma Hospital,Al Dhafrah 
2011,Public,MF3206,Center,Dialysis center,Centres (various),2011,SEHA Dialysis Services – Al Marfa Hospital,Al Dhafrah 
2011,Public,MF3205,Center,Dialysis center,Centres (various),2011,SEHA Dialysis Services – Al Sila Hospital,Al Dhafrah 
2011,Public,MF3203,Center,Dialysis center,Centres (various),2011,SEHA Dialysis Services – Ghaithy Hospital,Al Dhafrah 
2011,Private,MF3152,Center,Medical Center,Centres (various),2011,KOREA ELECTRIC POWER CORPORATION - ABUDHABI CLINIC,Al Dhafrah 
2011,Private,MF2996,Center,Medical Center,Centres (various),2011,AL NOOR HOSPITAL SPECIALITY CLINICS - ALMIRFA,Al Dhafrah 
2011,Private,MF1012,Polyclinic,Medical Polyclinic,Centres (various),1999,SHAHEEN MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1026,Polyclinic,Medical Polyclinic,Centres (various),2002,APOLLO MEDICAL CENTRE,Abu Dhabi
2011,Private,MF105,Polyclinic,Medical Polyclinic,Centres (various),2000,AL FARHAN MEDICAL CENTRE. L L C,Abu Dhabi
2011,Private,MF1051,Polyclinic,Dental Polyclinic,Centres (various),1999,PARIS DENTAL CENTER,Abu Dhabi
2011,Private,MF1068,Polyclinic,Medical Polyclinic,Centres (various),2001,COSMPOLITAN MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1092,Polyclinic,Medical Polyclinic,Centres (various),2003,AL JASRAIN MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1093,Polyclinic,Dental Polyclinic,Centres (various),2000,UNIVERSAL DENTAL CENTER,Abu Dhabi
2011,Private,MF1102,Polyclinic,Dental Polyclinic,Centres (various),2000,MERHI DENTAL & ORTHODONTIC CENTER,Abu Dhabi
2011,Private,MF1108,Polyclinic,Medical Polyclinic,Centres (various),2000,MAHER MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1132,Polyclinic,Dental Polyclinic,Centres (various),2000,AL SAFWA SPECIALZIED DENTAL CENTER,Abu Dhabi
2011,Private,MF1141,Polyclinic,Medical Polyclinic,Centres (various),2001,ELAJ MEDICAL CENTRE L.L.C,Abu Dhabi
2011,Private,MF1166,Polyclinic,Medical Polyclinic,Centres (various),2001,ABU DHABI MARINE OPERATING COMPANY CLINIC (ADMA OPCO),Abu Dhabi
2011,Private,MF1186,Polyclinic,Dental Polyclinic,Centres (various),2001,NOBLE  MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1196,Polyclinic,Medical Polyclinic,Centres (various),2001,BANIYAS MEDICAL CLINICS,Abu Dhabi
2011,Private,MF1198,Polyclinic,Medical Polyclinic,Centres (various),2001,DR. WALAA FAKHR MEDICAL CENTRE,Abu Dhabi
2011,Private,MF120,Polyclinic,Dental Polyclinic,Centres (various),1997,DENTACARE CENTRE,Abu Dhabi
2011,Private,MF122,Polyclinic,Medical Polyclinic,Centres (various),1981,AL QUDWAH MEDICAL CENTER,Abu Dhabi
2011,Private,MF1228,Polyclinic,Medical Polyclinic,Centres (various),2001,BEAUTY ALLIANCE SKIN & BEAUTY MEDICAL CENTRE.,Abu Dhabi
2011,Private,MF1241,Polyclinic,Dental Polyclinic,Centres (various),2001,BASISO DENTAL CENTER,Abu Dhabi
2011,Private,MF1267,Polyclinic,Dental Polyclinic,Centres (various),2001,DR. FIRAS DENTAL AND ORTHODONTIC CENTER,Abu Dhabi
2011,Private,MF1286,Polyclinic,Dental Polyclinic,Centres (various),2002,FRENCH DENTAL & ORTHODONTICS CENTER,Abu Dhabi
2011,Private,MF1288,Polyclinic,Medical Polyclinic,Centres (various),2002,DR MAHMOOD AL MAHJARI DENTAL POLYCLINIC CLINIC -LLC,Abu Dhabi
2011,Private,MF1300,Polyclinic,Dental Polyclinic,Centres (various),2002,GENTLE DENTAL CARE CENTRE,Abu Dhabi
2011,Private,MF1304,Polyclinic,Dental Polyclinic,Centres (various),2002,MARIBEL DENTAL CENTRE,Abu Dhabi
2011,Private,MF1329,Polyclinic,Medical Polyclinic,Centres (various),2006,PETRA MEDICAL CARE CENTRE,Abu Dhabi
2011,Private,MF133,Polyclinic,Medical Polyclinic,Centres (various),1988,AL SAQI MEDICAL POLY CLINIC - LLC,Abu Dhabi
2011,Private,MF1341,Polyclinic,Dental Polyclinic,Centres (various),2002,SAIF DENTAL CENTRE,Abu Dhabi
2011,Private,MF137,Polyclinic,Medical Polyclinic,Centres (various),2004,AL SHAHAMA MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1402,Polyclinic,Medical Polyclinic,Centres (various),2002,DAWN MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1413,Polyclinic,Medical Polyclinic,Centres (various),2002,ZIA MEDICAL CENTRE - L.L.C,Abu Dhabi
2011,Private,MF1425,Polyclinic,Dental Polyclinic,Centres (various),2004,LOTUS MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1429,Polyclinic,Medical Polyclinic,Centres (various),2003,PALMIRA SPECIALIZED MEDICAL CENTRE,Abu Dhabi
2011,Private,MF1437,Polyclinic,Dental Polyclinic,Centres (various),2003,OAISS BRACES CENTRE,Abu Dhabi
2011,Private,MF1481,Polyclinic,Dental Polyclinic,Centres (various),2004,DR ROCCO SPECIALIZED DENTAL CENTER,Abu Dhabi
2011,Private,MF1497,Polyclinic,Medical Polyclinic,Centres (various),2003,ADCO MEDICAL CENTRE,Abu Dhabi
