Year,Sector,Facility Region,Facility Type Group,Facility Reporting Name,National Expatriate,Inpatient Outpatient,ER,Episodes Count
2011,Private,Abu Dhabi,Centres (various),Al Ahli Specialists Medical Centre,Expatriate,Outpatient,Non ER,688
2011,Private,Abu Dhabi,Centres (various),Al Ahli Specialists Medical Centre,N/A,Outpatient,Non ER,89
2011,Private,Abu Dhabi,Centres (various),Al Ahli Specialists Medical Centre,National,Outpatient,Non ER,3759
2011,Private,Abu Dhabi,Centres (various),Al Amal Dental Laboratory,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Amal Medical Centre,Expatriate,Outpatient,Non ER,14741
2011,Private,Abu Dhabi,Centres (various),Al Amal Medical Centre,Expatriate,Outpatient,ER,2
2011,Private,Abu Dhabi,Centres (various),Al Amal Medical Centre,N/A,Outpatient,Non ER,2169
2011,Private,Abu Dhabi,Centres (various),Al Amal Medical Centre,National,Outpatient,Non ER,27027
2011,Private,Abu Dhabi,Centres (various),Al Ameen Medical Centre,Expatriate,Outpatient,Non ER,26453
2011,Private,Abu Dhabi,Centres (various),Al Ameen Medical Centre,N/A,Outpatient,Non ER,1718
2011,Private,Abu Dhabi,Centres (various),Al Ameen Medical Centre,National,Outpatient,Non ER,2400
2011,Private,Abu Dhabi,Centres (various),Al Borg Diagnostic Centre For Laboratories & X Ray,Expatriate,Outpatient,Non ER,2385
2011,Private,Abu Dhabi,Centres (various),Al Borg Diagnostic Centre For Laboratories & X Ray,N/A,Outpatient,Non ER,883
2011,Private,Abu Dhabi,Centres (various),Al Borg Diagnostic Centre For Laboratories & X Ray,National,Outpatient,Non ER,3232
2011,Private,Abu Dhabi,Centres (various),Al Bustan Medical Centre,Expatriate,Outpatient,Non ER,1143
2011,Private,Abu Dhabi,Centres (various),Al Bustan Medical Centre,N/A,Outpatient,Non ER,489
2011,Private,Abu Dhabi,Centres (various),Al Bustan Medical Centre,National,Outpatient,Non ER,3986
2011,Private,Abu Dhabi,Centres (various),Al Bustan Medical Centre-Branch,N/A,Outpatient,Non ER,8248
2011,Private,Abu Dhabi,Centres (various),Al Dana Medical Dental Centre,N/A,Outpatient,Non ER,2749
2011,Private,Abu Dhabi,Centres (various),Al Dar Centre-Yas Managed By Lifeline,Expatriate,Outpatient,Non ER,761
2011,Private,Abu Dhabi,Centres (various),Al Dar Centre-Yas Managed By Lifeline,N/A,Inpatient,Non ER,1
2011,Private,Abu Dhabi,Centres (various),Al Dar Centre-Yas Managed By Lifeline,N/A,Outpatient,Non ER,1357
2011,Private,Abu Dhabi,Centres (various),Al Dar Centre-Yas Managed By Lifeline,National,Outpatient,Non ER,3965
2011,Private,Abu Dhabi,Centres (various),Al Dar Centre-Yas Managed By Lifeline,National,Outpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Al Dhabi Medical Centre,N/A,Outpatient,Non ER,5499
2011,Private,Abu Dhabi,Centres (various),Al Eithar Optical Centre,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Falah Medical Poly Clinics,Expatriate,Inpatient,ER,2
2011,Private,Abu Dhabi,Centres (various),Al Falah Medical Poly Clinics,Expatriate,Outpatient,Non ER,8042
2011,Private,Abu Dhabi,Centres (various),Al Falah Medical Poly Clinics,Expatriate,Outpatient,ER,5
2011,Private,Abu Dhabi,Centres (various),Al Falah Medical Poly Clinics,N/A,Outpatient,Non ER,371
2011,Private,Abu Dhabi,Centres (various),Al Falah Medical Poly Clinics,National,Outpatient,Non ER,733
2011,Private,Abu Dhabi,Centres (various),Al Farhan Medical Centre,Expatriate,Outpatient,Non ER,8196
2011,Private,Abu Dhabi,Centres (various),Al Farhan Medical Centre,N/A,Outpatient,Non ER,427
2011,Private,Abu Dhabi,Centres (various),Al Farhan Medical Centre,National,Outpatient,Non ER,905
2011,Private,Abu Dhabi,Centres (various),Al Farhan Medical Centre -,Expatriate,Outpatient,Non ER,8267
2011,Private,Abu Dhabi,Centres (various),Al Farhan Medical Centre -,N/A,Outpatient,Non ER,991
2011,Private,Abu Dhabi,Centres (various),Al Farhan Medical Centre -,National,Outpatient,Non ER,9186
2011,Private,Abu Dhabi,Centres (various),Al Farooq Medical & Dental Centre,Expatriate,Outpatient,Non ER,1918
2011,Private,Abu Dhabi,Centres (various),Al Farooq Medical & Dental Centre,N/A,Outpatient,Non ER,132
2011,Private,Abu Dhabi,Centres (various),Al Farooq Medical & Dental Centre,National,Outpatient,Non ER,6197
2011,Private,Abu Dhabi,Centres (various),Al Ghazali Specialised Poly Clinics,Expatriate,Outpatient,Non ER,4817
2011,Private,Abu Dhabi,Centres (various),Al Ghazali Specialised Poly Clinics,N/A,Outpatient,Non ER,1438
2011,Private,Abu Dhabi,Centres (various),Al Ghazali Specialised Poly Clinics,National,Outpatient,Non ER,2826
2011,Private,Abu Dhabi,Centres (various),Al Haithami Specialised Medical Centre,Expatriate,Outpatient,Non ER,284
2011,Private,Abu Dhabi,Centres (various),Al Haithami Specialised Medical Centre,N/A,Outpatient,Non ER,4
2011,Private,Abu Dhabi,Centres (various),Al Haithami Specialised Medical Centre,National,Outpatient,Non ER,2646
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,Expatriate,Inpatient,Non ER,14
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,Expatriate,Outpatient,Non ER,7824
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,Expatriate,Outpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,N/A,Inpatient,Non ER,8
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,N/A,Outpatient,Non ER,3971
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,National,Inpatient,Non ER,14
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,National,Inpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Al Hendawy Medical Centre,National,Outpatient,Non ER,14298
2011,Private,Abu Dhabi,Centres (various),Al Hikma Medical Centre,Expatriate,Outpatient,Non ER,1786
2011,Private,Abu Dhabi,Centres (various),Al Hikma Medical Centre,N/A,Outpatient,Non ER,176
2011,Private,Abu Dhabi,Centres (various),Al Hikma Medical Centre,National,Outpatient,Non ER,17283
2011,Private,Abu Dhabi,Centres (various),Al Hosn Medical Centre,Expatriate,Outpatient,Non ER,2176
2011,Private,Abu Dhabi,Centres (various),Al Hosn Medical Centre,N/A,Outpatient,Non ER,658
2011,Private,Abu Dhabi,Centres (various),Al Hosn Medical Centre,National,Inpatient,ER,3
2011,Private,Abu Dhabi,Centres (various),Al Hosn Medical Centre,National,Outpatient,Non ER,2094
2011,Private,Abu Dhabi,Centres (various),Al Ittihad Medical Centre,Expatriate,Outpatient,Non ER,4723
2011,Private,Abu Dhabi,Centres (various),Al Ittihad Medical Centre,N/A,Outpatient,Non ER,728
2011,Private,Abu Dhabi,Centres (various),Al Ittihad Medical Centre,National,Outpatient,Non ER,3222
2011,Private,Abu Dhabi,Centres (various),Al Jaber Optical Centre - Abu Dhabi,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Jahwari Medical Centre,N/A,Outpatient,Non ER,2749
2011,Private,Abu Dhabi,Centres (various),Al Jamal Opticals - 2,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Jamal Opticals-Branch 1,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Jasrain Medical Centre,Expatriate,Outpatient,Non ER,3387
2011,Private,Abu Dhabi,Centres (various),Al Jasrain Medical Centre,N/A,Outpatient,Non ER,77
2011,Private,Abu Dhabi,Centres (various),Al Jasrain Medical Centre,National,Outpatient,Non ER,4783
2011,Private,Abu Dhabi,Centres (various),Al Kamal Medicdal Poly Clinics,Expatriate,Outpatient,Non ER,27760
2011,Private,Abu Dhabi,Centres (various),Al Kamal Medicdal Poly Clinics,N/A,Outpatient,Non ER,2411
2011,Private,Abu Dhabi,Centres (various),Al Kamal Medicdal Poly Clinics,National,Outpatient,Non ER,5036
2011,Private,Abu Dhabi,Centres (various),Al Mafraq Medical Centre,Expatriate,Outpatient,Non ER,7030
2011,Private,Abu Dhabi,Centres (various),Al Mafraq Medical Centre,N/A,Outpatient,Non ER,1301
2011,Private,Abu Dhabi,Centres (various),Al Mafraq Medical Centre,National,Outpatient,Non ER,25593
2011,Private,Abu Dhabi,Centres (various),Al Manal Dental Centre,Expatriate,Outpatient,Non ER,1197
2011,Private,Abu Dhabi,Centres (various),Al Manal Dental Centre,N/A,Outpatient,Non ER,44
2011,Private,Abu Dhabi,Centres (various),Al Manal Dental Centre,National,Outpatient,Non ER,7006
2011,Private,Abu Dhabi,Centres (various),Al Maria Medical Centre,Expatriate,Outpatient,Non ER,5357
2011,Private,Abu Dhabi,Centres (various),Al Maria Medical Centre,N/A,Outpatient,Non ER,1360
2011,Private,Abu Dhabi,Centres (various),Al Maria Medical Centre,National,Outpatient,Non ER,1530
2011,Private,Abu Dhabi,Centres (various),Al Mizzan Naturopathy Health Centre,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Musaffah Al Alhli Medical Centre,Expatriate,Outpatient,Non ER,69566
2011,Private,Abu Dhabi,Centres (various),Al Musaffah Al Alhli Medical Centre,Expatriate,Outpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Al Musaffah Al Alhli Medical Centre,N/A,Outpatient,Non ER,4687
2011,Private,Abu Dhabi,Centres (various),Al Musaffah Al Alhli Medical Centre,National,Outpatient,Non ER,31417
2011,Private,Abu Dhabi,Centres (various),Al Musaffah Al Alhli Medical Centre-Branch,Expatriate,Outpatient,Non ER,13943
2011,Private,Abu Dhabi,Centres (various),Al Musaffah Al Alhli Medical Centre-Branch,N/A,Outpatient,Non ER,1498
2011,Private,Abu Dhabi,Centres (various),Al Musaffah Al Alhli Medical Centre-Branch,National,Outpatient,Non ER,12909
2011,Private,Abu Dhabi,Centres (various),Al Noor Speciality Clinics-Al Musafah,N/A,Outpatient,Non ER,43992
2011,Private,Abu Dhabi,Centres (various),Al Quds Specialised Dental Centre,Expatriate,Outpatient,Non ER,549
2011,Private,Abu Dhabi,Centres (various),Al Quds Specialised Dental Centre,N/A,Outpatient,Non ER,2144
2011,Private,Abu Dhabi,Centres (various),Al Quds Specialised Dental Centre,National,Outpatient,Non ER,54
2011,Private,Abu Dhabi,Centres (various),Al Qudwah Medical Centre,Expatriate,Outpatient,Non ER,282
2011,Private,Abu Dhabi,Centres (various),Al Qudwah Medical Centre,N/A,Outpatient,Non ER,423
2011,Private,Abu Dhabi,Centres (various),Al Qudwah Medical Centre,National,Outpatient,Non ER,2044
2011,Private,Abu Dhabi,Centres (various),Al Rafa Medical Centre,Expatriate,Outpatient,Non ER,9610
2011,Private,Abu Dhabi,Centres (various),Al Rafa Medical Centre,N/A,Outpatient,Non ER,1731
2011,Private,Abu Dhabi,Centres (various),Al Rafa Medical Centre,National,Outpatient,Non ER,5533
2011,Private,Abu Dhabi,Centres (various),Al Rahat Medical Centre,Expatriate,Outpatient,Non ER,1571
2011,Private,Abu Dhabi,Centres (various),Al Rahat Medical Centre,N/A,Outpatient,Non ER,490
2011,Private,Abu Dhabi,Centres (various),Al Rahat Medical Centre,National,Outpatient,Non ER,1384
2011,Private,Abu Dhabi,Centres (various),Al Rahma Chinese Medical Natural Treatment Centre,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Rawdah German Medical Centre,Expatriate,Outpatient,Non ER,14445
2011,Private,Abu Dhabi,Centres (various),Al Rawdah German Medical Centre,N/A,Outpatient,Non ER,4325
2011,Private,Abu Dhabi,Centres (various),Al Rawdah German Medical Centre,National,Outpatient,Non ER,8723
2011,Private,Abu Dhabi,Centres (various),Al Rayashi Dental Centre,N/A,Outpatient,Non ER,5499
2011,Private,Abu Dhabi,Centres (various),Al Rayyan Medical Clinic,Expatriate,Outpatient,Non ER,7220
2011,Private,Abu Dhabi,Centres (various),Al Rayyan Medical Clinic,N/A,Outpatient,Non ER,387
2011,Private,Abu Dhabi,Centres (various),Al Rayyan Medical Clinic,National,Outpatient,Non ER,947
2011,Private,Abu Dhabi,Centres (various),Al Razi City Medical Centre,N/A,Outpatient,Non ER,2749
2011,Private,Abu Dhabi,Centres (various),Al Reyada Medical Centre,Expatriate,Inpatient,Non ER,11
2011,Private,Abu Dhabi,Centres (various),Al Reyada Medical Centre,Expatriate,Outpatient,Non ER,1452
2011,Private,Abu Dhabi,Centres (various),Al Reyada Medical Centre,N/A,Inpatient,Non ER,2
2011,Private,Abu Dhabi,Centres (various),Al Reyada Medical Centre,N/A,Outpatient,Non ER,283
2011,Private,Abu Dhabi,Centres (various),Al Reyada Medical Centre,National,Inpatient,Non ER,28
2011,Private,Abu Dhabi,Centres (various),Al Reyada Medical Centre,National,Outpatient,Non ER,1124
2011,Private,Abu Dhabi,Centres (various),Al Safwa Specialzied Dental Centre,Expatriate,Outpatient,Non ER,1176
2011,Private,Abu Dhabi,Centres (various),Al Safwa Specialzied Dental Centre,N/A,Outpatient,Non ER,520
2011,Private,Abu Dhabi,Centres (various),Al Safwa Specialzied Dental Centre,National,Outpatient,Non ER,1052
2011,Private,Abu Dhabi,Centres (various),Al Saqi Medical Poly Clinic,Expatriate,Outpatient,Non ER,5027
2011,Private,Abu Dhabi,Centres (various),Al Saqi Medical Poly Clinic,N/A,Outpatient,Non ER,811
2011,Private,Abu Dhabi,Centres (various),Al Saqi Medical Poly Clinic,National,Outpatient,Non ER,333
2011,Private,Abu Dhabi,Centres (various),Al Shahama Medical Centre,Expatriate,Outpatient,Non ER,685
2011,Private,Abu Dhabi,Centres (various),Al Shahama Medical Centre,N/A,Outpatient,Non ER,21
2011,Private,Abu Dhabi,Centres (various),Al Shahama Medical Centre,National,Outpatient,Non ER,6321
2011,Private,Abu Dhabi,Centres (various),Al Wahda Medical Centre,Expatriate,Outpatient,Non ER,33028
2011,Private,Abu Dhabi,Centres (various),Al Wahda Medical Centre,Expatriate,Outpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Al Wahda Medical Centre,N/A,Outpatient,Non ER,3348
2011,Private,Abu Dhabi,Centres (various),Al Wahda Medical Centre,National,Outpatient,Non ER,3294
2011,Private,Abu Dhabi,Centres (various),Al Wathba Medical Centre,Expatriate,Outpatient,Non ER,1049
2011,Private,Abu Dhabi,Centres (various),Al Wathba Medical Centre,N/A,Outpatient,Non ER,162
2011,Private,Abu Dhabi,Centres (various),Al Wathba Medical Centre,National,Outpatient,Non ER,1896
2011,Private,Abu Dhabi,Centres (various),Al Worood Medical Centre,Expatriate,Outpatient,Non ER,4610
2011,Private,Abu Dhabi,Centres (various),Al Worood Medical Centre,N/A,Outpatient,Non ER,761
2011,Private,Abu Dhabi,Centres (various),Al Worood Medical Centre,National,Outpatient,Non ER,2876
2011,Private,Abu Dhabi,Centres (various),Al Yamama Alternative Medical Centre,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Al Zahra Medical Centre,Expatriate,Outpatient,Non ER,7294
2011,Private,Abu Dhabi,Centres (various),Al Zahra Medical Centre,N/A,Outpatient,Non ER,813
2011,Private,Abu Dhabi,Centres (various),Al Zahra Medical Centre,National,Outpatient,Non ER,2910
2011,Private,Abu Dhabi,Centres (various),Al-Jamal Opticals,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Albara Medical Centre,N/A,Outpatient,Non ER,5499
2011,Private,Abu Dhabi,Centres (various),Almadina Medical Centre For Special Clinics,Expatriate,Inpatient,Non ER,10
2011,Private,Abu Dhabi,Centres (various),Almadina Medical Centre For Special Clinics,Expatriate,Outpatient,Non ER,2708
2011,Private,Abu Dhabi,Centres (various),Almadina Medical Centre For Special Clinics,N/A,Inpatient,Non ER,5
2011,Private,Abu Dhabi,Centres (various),Almadina Medical Centre For Special Clinics,N/A,Outpatient,Non ER,677
2011,Private,Abu Dhabi,Centres (various),Almadina Medical Centre For Special Clinics,National,Inpatient,Non ER,17
2011,Private,Abu Dhabi,Centres (various),Almadina Medical Centre For Special Clinics,National,Outpatient,Non ER,6538
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,Expatriate,Inpatient,Non ER,1
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,Expatriate,Outpatient,Non ER,8852
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,Expatriate,Outpatient,ER,11
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,N/A,Outpatient,Non ER,2425
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,N/A,Outpatient,ER,3
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,National,Inpatient,Non ER,4
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,National,Outpatient,Non ER,4385
2011,Private,Abu Dhabi,Centres (various),Almazroui One Day Surgery,National,Outpatient,ER,15
2011,Private,Abu Dhabi,Centres (various),Alnuaman Dental Medical Centre,Expatriate,Outpatient,Non ER,1949
2011,Private,Abu Dhabi,Centres (various),Alnuaman Dental Medical Centre,N/A,Outpatient,Non ER,1496
2011,Private,Abu Dhabi,Centres (various),Alnuaman Dental Medical Centre,National,Outpatient,Non ER,2053
2011,Private,Abu Dhabi,Centres (various),Alpha Medical Centre,Expatriate,Outpatient,Non ER,856
2011,Private,Abu Dhabi,Centres (various),Alpha Medical Centre,N/A,Outpatient,Non ER,241
2011,Private,Abu Dhabi,Centres (various),Alpha Medical Centre,National,Outpatient,Non ER,406
2011,Private,Abu Dhabi,Centres (various),Alqadi Medical Centre,Expatriate,Outpatient,Non ER,1956
2011,Private,Abu Dhabi,Centres (various),Alqadi Medical Centre,N/A,Outpatient,Non ER,279
2011,Private,Abu Dhabi,Centres (various),Alqadi Medical Centre,National,Outpatient,Non ER,6012
2011,Private,Abu Dhabi,Centres (various),Alriyadh Medical Centre,Expatriate,Outpatient,Non ER,3749
2011,Private,Abu Dhabi,Centres (various),Alriyadh Medical Centre,National,Outpatient,Non ER,12747
2011,Private,Abu Dhabi,Centres (various),Alsabah Medical Clinic,Expatriate,Outpatient,Non ER,136
2011,Private,Abu Dhabi,Centres (various),Alsabah Medical Clinic,N/A,Outpatient,Non ER,4
2011,Private,Abu Dhabi,Centres (various),Alsabah Medical Clinic,National,Outpatient,Non ER,2271
2011,Private,Abu Dhabi,Centres (various),Alsalam City Medical Centre,N/A,Outpatient,Non ER,10998
2011,Private,Abu Dhabi,Centres (various),Althuraya Dental Implant Centre,Expatriate,Outpatient,Non ER,2442
2011,Private,Abu Dhabi,Centres (various),Althuraya Dental Implant Centre,N/A,Outpatient,Non ER,1049
2011,Private,Abu Dhabi,Centres (various),Althuraya Dental Implant Centre,National,Outpatient,Non ER,4756
2011,Private,Abu Dhabi,Centres (various),American Centre For Psychiatry & Neurology,Expatriate,Outpatient,Non ER,1659
2011,Private,Abu Dhabi,Centres (various),American Centre For Psychiatry & Neurology,N/A,Outpatient,Non ER,418
2011,Private,Abu Dhabi,Centres (various),American Centre For Psychiatry & Neurology,National,Outpatient,Non ER,3644
2011,Private,Abu Dhabi,Centres (various),American Crescent Health Care Centre,Expatriate,Outpatient,Non ER,2219
2011,Private,Abu Dhabi,Centres (various),American Crescent Health Care Centre,N/A,Outpatient,Non ER,878
2011,Private,Abu Dhabi,Centres (various),American Crescent Health Care Centre,National,Outpatient,Non ER,2500
2011,Private,Abu Dhabi,Centres (various),American Dental Centre,Expatriate,Outpatient,Non ER,4171
2011,Private,Abu Dhabi,Centres (various),American Dental Centre,N/A,Outpatient,Non ER,3702
2011,Private,Abu Dhabi,Centres (various),American Dental Centre,National,Outpatient,Non ER,5874
2011,Private,Abu Dhabi,Centres (various),American European Medical Centre,Expatriate,Inpatient,Non ER,20
2011,Private,Abu Dhabi,Centres (various),American European Medical Centre,Expatriate,Outpatient,Non ER,10127
2011,Private,Abu Dhabi,Centres (various),American European Medical Centre,N/A,Inpatient,Non ER,5
2011,Private,Abu Dhabi,Centres (various),American European Medical Centre,N/A,Outpatient,Non ER,2535
2011,Private,Abu Dhabi,Centres (various),American European Medical Centre,National,Inpatient,Non ER,18
2011,Private,Abu Dhabi,Centres (various),American European Medical Centre,National,Outpatient,Non ER,9885
2011,Private,Abu Dhabi,Centres (various),Amrita Midical Centre,Expatriate,Inpatient,Non ER,15
2011,Private,Abu Dhabi,Centres (various),Amrita Midical Centre,Expatriate,Outpatient,Non ER,16185
2011,Private,Abu Dhabi,Centres (various),Amrita Midical Centre,N/A,Inpatient,Non ER,6
2011,Private,Abu Dhabi,Centres (various),Amrita Midical Centre,N/A,Outpatient,Non ER,8129
2011,Private,Abu Dhabi,Centres (various),Amrita Midical Centre,National,Inpatient,Non ER,13
2011,Private,Abu Dhabi,Centres (various),Amrita Midical Centre,National,Inpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Amrita Midical Centre,National,Outpatient,Non ER,15964
2011,Private,Abu Dhabi,Centres (various),Amwaj Medical Centre,Expatriate,Outpatient,Non ER,2087
2011,Private,Abu Dhabi,Centres (various),Amwaj Medical Centre,N/A,Outpatient,Non ER,1222
2011,Private,Abu Dhabi,Centres (various),Amwaj Medical Centre,National,Outpatient,Non ER,1009
2011,Private,Abu Dhabi,Centres (various),Annab Laboratory,Expatriate,Outpatient,Non ER,3652
2011,Private,Abu Dhabi,Centres (various),Annab Laboratory,N/A,Outpatient,Non ER,552
2011,Private,Abu Dhabi,Centres (various),Annab Laboratory,National,Outpatient,Non ER,959
2011,Private,Abu Dhabi,Centres (various),Ansari Medical Centre,Expatriate,Outpatient,Non ER,4058
2011,Private,Abu Dhabi,Centres (various),Ansari Medical Centre,Expatriate,Outpatient,ER,1
2011,Private,Abu Dhabi,Centres (various),Ansari Medical Centre,N/A,Outpatient,Non ER,696
2011,Private,Abu Dhabi,Centres (various),Ansari Medical Centre,National,Outpatient,Non ER,1375
2011,Private,Abu Dhabi,Centres (various),Apollo Medical Centre,Expatriate,Outpatient,Non ER,5116
2011,Private,Abu Dhabi,Centres (various),Apollo Medical Centre,N/A,Outpatient,Non ER,732
2011,Private,Abu Dhabi,Centres (various),Apollo Medical Centre,National,Outpatient,Non ER,563
2011,Private,Abu Dhabi,Centres (various),Appolonia Dental Centre,Expatriate,Outpatient,Non ER,316
2011,Private,Abu Dhabi,Centres (various),Appolonia Dental Centre,N/A,Outpatient,Non ER,126
2011,Private,Abu Dhabi,Centres (various),Appolonia Dental Centre,National,Outpatient,Non ER,502
2011,Private,Abu Dhabi,Centres (various),Arabian Island Medical Centre,Expatriate,Outpatient,Non ER,11383
2011,Private,Abu Dhabi,Centres (various),Arabian Island Medical Centre,N/A,Outpatient,Non ER,715
2011,Private,Abu Dhabi,Centres (various),Arabian Island Medical Centre,National,Outpatient,Non ER,732
2011,Private,Abu Dhabi,Centres (various),Arabic Physiotherapy Centre,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Art Dental Laboratory,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Asia Opticals,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Asmat Dental Medical Centre,Expatriate,Outpatient,Non ER,572
2011,Private,Abu Dhabi,Centres (various),Asmat Dental Medical Centre,N/A,Outpatient,Non ER,256
2011,Private,Abu Dhabi,Centres (various),Asmat Dental Medical Centre,National,Outpatient,Non ER,1920
2011,Private,Abu Dhabi,Centres (various),Ayman Dental Centre,Expatriate,Outpatient,Non ER,531
2011,Private,Abu Dhabi,Centres (various),Ayman Dental Centre,N/A,Outpatient,Non ER,409
2011,Private,Abu Dhabi,Centres (various),Ayman Dental Centre,National,Outpatient,Non ER,1808
2011,Private,Abu Dhabi,Centres (various),Badeea,N/A,Outpatient,Non ER,Null
2011,Private,Abu Dhabi,Centres (various),Baniyas Al Ahli Medical Centre,Expatriate,Outpatient,Non ER,22912
2011,Private,Abu Dhabi,Centres (various),Baniyas Al Ahli Medical Centre,N/A,Outpatient,Non ER,1643
2011,Private,Abu Dhabi,Centres (various),Baniyas Al Ahli Medical Centre,National,Outpatient,Non ER,10507
2011,Private,Abu Dhabi,Centres (various),Baniyas Medical Clinics,Expatriate,Outpatient,Non ER,128
