Year,Nationality,Gender,Age Group,Cancer site,Count
2011,Expatriate,Female,80-84,Breast,2
2011,Expatriate,Female,85+,Pancreas,1
2011,Expatriate,Female,85+,Liver and intrahepatic bile ducts,2
2011,Expatriate,Female,85+,"Brain, nervous system",1
2011,Expatriate,Male,0-4,Stomach,1
2011,Expatriate,Male,0-4,"Brain, nervous system",1
2011,Expatriate,Male,5-9,Other Cancer,2
2011,Expatriate,Male,10-14,Leukaemia,1
2011,Expatriate,Male,15-19,Other Cancer,1
2011,Expatriate,Male,15-19,"Brain, nervous system",1
2011,Expatriate,Male,20-24,Leukaemia,1
2011,Expatriate,Male,25-29,Other Cancer,1
2011,Expatriate,Male,25-29,Leukaemia,3
2011,Expatriate,Male,25-29,"Brain, nervous system",1
2011,Expatriate,Male,30-34,Pancreas,1
2011,Expatriate,Male,30-34,Other pharynx,1
2011,Expatriate,Male,30-34,Lymphoma,1
2011,Expatriate,Male,30-34,Leukaemia,1
2011,Expatriate,Male,30-34,"Brain, nervous system",1
2011,Expatriate,Male,35-39,Pancreas,1
2011,Expatriate,Male,35-39,Other Cancer,2
2011,Expatriate,Male,40-44,Pancreas,1
2011,Expatriate,Male,40-44,Other Cancer,1
2011,Expatriate,Male,40-44,Nasopharynx,1
2011,Expatriate,Male,40-44,Lymphoma,2
2011,Expatriate,Male,40-44,Colorectum,2
2011,Expatriate,Male,45-49,"Trachea, bronchus and lung",2
2011,Expatriate,Male,45-49,Testis,1
2011,Expatriate,Male,45-49,Stomach,1
2011,Expatriate,Male,45-49,Other Cancer,1
2011,Expatriate,Male,45-49,Liver and intrahepatic bile ducts,1
2011,Expatriate,Male,45-49,Leukaemia,2
2011,Expatriate,Male,45-49,Colorectum,3
2011,Expatriate,Male,50-54,"Trachea, bronchus and lung",2
2011,Expatriate,Male,50-54,Stomach,2
2011,Expatriate,Male,50-54,Prostate,1
2011,Expatriate,Male,50-54,Pancreas,1
2011,Expatriate,Male,50-54,Other pharynx,2
2011,Expatriate,Male,50-54,Other Cancer,2
2011,Expatriate,Male,50-54,Oesophagus,1
2011,Expatriate,Male,50-54,Lymphoma,1
2011,Expatriate,Male,50-54,Liver and intrahepatic bile ducts,1
2011,Expatriate,Male,50-54,Leukaemia,1
2011,Expatriate,Male,50-54,Larynx,1
2011,Expatriate,Male,50-54,Gallbladder and extrahepatic ducts,1
2011,Expatriate,Male,50-54,Colorectum,1
2011,Expatriate,Male,50-54,"Brain, nervous system",1
2011,Expatriate,Male,55-59,"Trachea, bronchus and lung",5
2011,Expatriate,Male,55-59,Stomach,1
2011,Expatriate,Male,55-59,Prostate,1
2011,Expatriate,Male,55-59,Pancreas,2
2011,Expatriate,Male,55-59,Other Cancer,2
2011,Expatriate,Male,55-59,Oesophagus,1
2011,Expatriate,Male,55-59,Nasopharynx,1
2011,Expatriate,Male,55-59,Multiple myeloma,1
2011,Expatriate,Male,55-59,Lymphoma,1
2011,Expatriate,Male,55-59,Liver and intrahepatic bile ducts,2
2011,Expatriate,Male,55-59,"Lip, oral cavity",1
2011,Expatriate,Male,55-59,"Kidney, renal pelvis and ureter",1
2011,Expatriate,Male,55-59,Colorectum,4
2011,Expatriate,Male,60-64,"Trachea, bronchus and lung",2
2011,Expatriate,Male,60-64,Stomach,2
2011,Expatriate,Male,60-64,Oesophagus,1
2011,Expatriate,Male,60-64,Nasopharynx,1
2011,Expatriate,Male,60-64,Melanoma of skin,1
2011,Expatriate,Male,60-64,Lymphoma,1
2011,Expatriate,Male,60-64,Liver and intrahepatic bile ducts,6
2011,Expatriate,Male,60-64,Leukaemia,2
2011,Expatriate,Male,60-64,Larynx,1
2011,Expatriate,Male,60-64,"Kidney, renal pelvis and ureter",2
2011,Expatriate,Male,60-64,Colorectum,1
2011,Expatriate,Male,60-64,Bladder,2
2011,Expatriate,Male,65-69,"Trachea, bronchus and lung",4
2011,Expatriate,Male,65-69,Stomach,1
2011,Expatriate,Male,65-69,Prostate,1
2011,Expatriate,Male,65-69,Pancreas,4
2011,Expatriate,Male,65-69,Nasopharynx,1
2011,Expatriate,Male,65-69,Multiple myeloma,1
2011,Expatriate,Male,65-69,Liver and intrahepatic bile ducts,4
2011,Expatriate,Male,65-69,Leukaemia,1
2011,Expatriate,Male,65-69,Larynx,1
2011,Expatriate,Male,65-69,Colorectum,1
2011,Expatriate,Male,65-69,"Brain, nervous system",2
2011,Expatriate,Male,70-74,"Trachea, bronchus and lung",2
2011,Expatriate,Male,70-74,Prostate,1
2011,Expatriate,Male,70-74,Pancreas,1
2011,Expatriate,Male,70-74,Multiple myeloma,2
2011,Expatriate,Male,70-74,Liver and intrahepatic bile ducts,1
2011,Expatriate,Male,70-74,Larynx,1
2011,Expatriate,Male,70-74,Colorectum,3
2011,Expatriate,Male,70-74,"Brain, nervous system",1
2011,Expatriate,Male,75-79,"Trachea, bronchus and lung",1
2011,Expatriate,Male,75-79,Stomach,1
2011,Expatriate,Male,75-79,Liver and intrahepatic bile ducts,1
2011,Expatriate,Male,75-79,Leukaemia,1
2011,Expatriate,Male,75-79,Colorectum,1
2011,Expatriate,Male,75-79,"Brain, nervous system",1
2011,Expatriate,Male,75-79,Bladder,1
2011,Expatriate,Male,80-84,Stomach,1
2011,Expatriate,Male,80-84,Pancreas,1
2011,Expatriate,Male,85+,Stomach,1
2011,Expatriate,Male,85+,Prostate,1
2011,Expatriate,Male,85+,Oesophagus,1
2011,Expatriate,Male,85+,Liver and intrahepatic bile ducts,1
2011,Expatriate,Male,85+,Colorectum,1
2011,Expatriate,Male,85+,Bladder,1
2011,National,Female,0-4,"Brain, nervous system",1
2011,National,Female,10-14,Leukaemia,1
2011,National,Female,30-34,Stomach,1
2011,National,Female,30-34,Cervix uteri,1
2011,National,Female,35-39,Leukaemia,1
2011,National,Female,35-39,Colorectum,2
2011,National,Female,35-39,Breast,2
2011,National,Female,40-44,Melanoma of skin,1
2011,National,Female,40-44,Colorectum,2
2011,National,Female,40-44,Breast,2
2011,National,Female,45-49,Colorectum,1
2011,National,Female,45-49,Cervix uteri,1
2011,National,Female,45-49,Breast,3
2011,National,Female,50-54,Liver and intrahepatic bile ducts,1
2011,National,Female,50-54,Breast,2
2011,National,Female,55-59,"Trachea, bronchus and lung",1
2011,National,Female,55-59,Pancreas,1
2011,National,Female,55-59,Other Cancer,1
2011,National,Female,55-59,"Lip, oral cavity",1
2011,National,Female,55-59,Colorectum,2
2011,National,Female,55-59,Breast,1
2011,National,Female,60-64,Thyroid,1
2011,National,Female,60-64,Other Cancer,1
2011,National,Female,60-64,Gallbladder and extrahepatic ducts,1
2011,National,Female,60-64,Colorectum,1
2011,National,Female,60-64,Breast,1
2011,National,Female,65-69,"Trachea, bronchus and lung",1
2011,National,Female,65-69,Oesophagus,1
2011,National,Female,65-69,Lymphoma,1
2011,National,Female,65-69,Liver and intrahepatic bile ducts,1
2011,National,Female,65-69,Leukaemia,1
2011,National,Female,65-69,Cervix uteri,1
2011,National,Female,65-69,Breast,1
2011,National,Female,65-69,Bladder,1
2011,National,Female,70-74,Other Cancer,1
2011,National,Female,70-74,Lymphoma,1
2011,National,Female,70-74,Liver and intrahepatic bile ducts,1
2011,National,Female,70-74,Colorectum,1
2011,National,Female,70-74,Breast,1
2011,National,Female,80-84,Ovary,1
2011,National,Female,80-84,Lymphoma,1
2011,National,Female,80-84,Liver and intrahepatic bile ducts,2
2011,National,Female,80-84,Leukaemia,1
2011,National,Female,80-84,Cervix uteri,3
2011,National,Female,80-84,Breast,1
2011,National,Female,85+,"Trachea, bronchus and lung",1
2011,National,Female,85+,Pancreas,1
2011,National,Male,0-4,Other Cancer,1
2011,National,Male,0-4,"Brain, nervous system",1
2011,National,Male,5-9,Leukaemia,1
2011,National,Male,10-14,"Brain, nervous system",1
2011,National,Male,20-24,Other Cancer,1
2011,National,Male,20-24,Leukaemia,1
2011,National,Male,30-34,Other Cancer,2
2011,National,Male,30-34,Leukaemia,2
2011,National,Male,35-39,Kaposi sarcoma,1
2011,National,Male,35-39,"Brain, nervous system",1
2011,National,Male,40-44,Liver and intrahepatic bile ducts,1
2011,National,Male,45-49,"Trachea, bronchus and lung",1
2011,National,Male,45-49,Pancreas,1
2011,National,Male,45-49,Other pharynx,1
2011,National,Male,45-49,Lymphoma,1
2011,National,Male,50-54,"Trachea, bronchus and lung",2
2011,National,Male,50-54,Larynx,1
2011,National,Male,50-54,Colorectum,1
2011,National,Male,55-59,"Trachea, bronchus and lung",4
2011,National,Male,55-59,Pancreas,1
2011,National,Male,55-59,Other pharynx,1
2011,National,Male,55-59,Nasopharynx,1
2011,National,Male,55-59,Lymphoma,1
2011,National,Male,55-59,Liver and intrahepatic bile ducts,1
2011,National,Male,55-59,Colorectum,2
2011,National,Male,60-64,"Trachea, bronchus and lung",3
2011,National,Male,60-64,Pancreas,1
2011,National,Male,60-64,Other Cancer,1
2011,National,Male,60-64,Lymphoma,1
2011,National,Male,60-64,Liver and intrahepatic bile ducts,2
2011,National,Male,60-64,Leukaemia,1
2011,National,Male,60-64,Colorectum,2
2011,National,Male,60-64,"Brain, nervous system",2
2011,National,Male,65-69,"Trachea, bronchus and lung",2
2011,National,Male,65-69,Stomach,1
2011,National,Male,65-69,Prostate,1
2011,National,Male,65-69,Pancreas,1
2011,National,Male,65-69,Leukaemia,1
2011,National,Male,65-69,Gallbladder and extrahepatic ducts,1
2011,National,Male,70-74,Stomach,1
2011,National,Male,70-74,Liver and intrahepatic bile ducts,2
2011,National,Male,70-74,Leukaemia,1
2011,National,Male,70-74,Larynx,1
2011,National,Male,70-74,Bladder,1
2011,National,Male,75-79,"Trachea, bronchus and lung",1
2011,National,Male,75-79,Prostate,1
2011,National,Male,75-79,Pancreas,2
2011,National,Male,75-79,Other Cancer,1
2011,National,Male,75-79,Lymphoma,1
2011,National,Male,75-79,"Lip, oral cavity",1
2011,National,Male,75-79,Colorectum,2
2011,National,Male,75-79,Bladder,1
2011,National,Male,80-84,Lymphoma,2
2011,National,Male,80-84,Liver and intrahepatic bile ducts,2
2011,National,Male,80-84,Larynx,1
2011,National,Male,80-84,Bladder,1
2011,National,Male,85+,"Trachea, bronchus and lung",3
2011,National,Male,85+,Colorectum,2
2012,Expatriate,Female,0-4,Other Cancer,1
2012,Expatriate,Female,0-4,Leukaemia,1
2012,Expatriate,Female,10-14,Other Cancer,1
2012,Expatriate,Female,25-29,Melanoma of skin,1
2012,Expatriate,Female,25-29,Leukaemia,1
2012,Expatriate,Female,25-29,"Kidney, renal pelvis and ureter",1
2012,Expatriate,Female,25-29,Breast,1
2012,Expatriate,Female,30-34,Stomach,1
2012,Expatriate,Female,30-34,Pancreas,1
2012,Expatriate,Female,30-34,Ovary,1
2012,Expatriate,Female,30-34,Lymphoma,1
2012,Expatriate,Female,30-34,"Brain, nervous system",1
2012,Expatriate,Female,35-39,Multiple myeloma,1
2012,Expatriate,Female,35-39,Leukaemia,1
2012,Expatriate,Female,35-39,Breast,3
2012,Expatriate,Female,40-44,Nasopharynx,1
2012,Expatriate,Female,40-44,Colorectum,1
2012,Expatriate,Female,40-44,Cervix uteri,1
2012,Expatriate,Female,40-44,Breast,3
2012,Expatriate,Female,45-49,Stomach,2
2012,Expatriate,Female,45-49,Leukaemia,1
2012,Expatriate,Female,45-49,Colorectum,2
2012,Expatriate,Female,45-49,Cervix uteri,1
2012,Expatriate,Female,45-49,Breast,6
2012,Expatriate,Female,50-54,"Trachea, bronchus and lung",3
2012,Expatriate,Female,50-54,Thyroid,1
2012,Expatriate,Female,50-54,Stomach,1
2012,Expatriate,Female,50-54,Pancreas,2
2012,Expatriate,Female,50-54,Ovary,2
2012,Expatriate,Female,50-54,Other Cancer,1
2012,Expatriate,Female,50-54,Lymphoma,1
2012,Expatriate,Female,50-54,Liver and intrahepatic bile ducts,1
2012,Expatriate,Female,50-54,Leukaemia,1
2012,Expatriate,Female,50-54,Gallbladder and extrahepatic ducts,1
2012,Expatriate,Female,50-54,Colorectum,2
2012,Expatriate,Female,50-54,Cervix uteri,2
2012,Expatriate,Female,50-54,Breast,13
2012,Expatriate,Female,55-59,Other Cancer,1
2012,Expatriate,Female,55-59,Colorectum,2
2012,Expatriate,Female,55-59,Breast,3
2012,Expatriate,Female,55-59,"Brain, nervous system",1
2012,Expatriate,Female,60-64,"Trachea, bronchus and lung",2
2012,Expatriate,Female,60-64,Stomach,2
2012,Expatriate,Female,60-64,Pancreas,2
2012,Expatriate,Female,60-64,Ovary,3
2012,Expatriate,Female,60-64,Oesophagus,1
2012,Expatriate,Female,60-64,Lymphoma,1
2012,Expatriate,Female,60-64,Liver and intrahepatic bile ducts,1
2012,Expatriate,Female,60-64,"Kidney, renal pelvis and ureter",2
2012,Expatriate,Female,60-64,Colorectum,2
2012,Expatriate,Female,60-64,Cervix uteri,1
2012,Expatriate,Female,60-64,Breast,5
2012,Expatriate,Female,65-69,Thyroid,1
2012,Expatriate,Female,65-69,Stomach,1
2012,Expatriate,Female,65-69,Pancreas,1
2012,Expatriate,Female,65-69,Other Cancer,2
2012,Expatriate,Female,65-69,Gallbladder and extrahepatic ducts,2
2012,Expatriate,Female,65-69,Colorectum,1
2012,Expatriate,Female,65-69,Cervix uteri,1
2012,Expatriate,Female,65-69,Breast,2
2012,Expatriate,Female,70-74,"Trachea, bronchus and lung",1
2012,Expatriate,Female,70-74,Pancreas,1
2012,Expatriate,Female,70-74,Ovary,1
2012,Expatriate,Female,70-74,Other Cancer,1
2012,Expatriate,Female,70-74,Multiple myeloma,1
2012,Expatriate,Female,70-74,Liver and intrahepatic bile ducts,1
2012,Expatriate,Female,70-74,Breast,2
2012,Expatriate,Female,70-74,Bladder,1
2012,Expatriate,Female,75-79,Pancreas,1
2012,Expatriate,Female,75-79,Ovary,1
2012,Expatriate,Female,75-79,Colorectum,1
2012,Expatriate,Female,75-79,Cervix uteri,1
2012,Expatriate,Female,75-79,Bladder,1
2012,Expatriate,Female,80-84,"Trachea, bronchus and lung",1
2012,Expatriate,Female,80-84,Other Cancer,1
2012,Expatriate,Female,80-84,Liver and intrahepatic bile ducts,1
2012,Expatriate,Female,80-84,Corpus uteri,1
2012,Expatriate,Female,80-84,Cervix uteri,1
2012,Expatriate,Female,80-84,Breast,1
2012,Expatriate,Female,85+,Pancreas,1
2012,Expatriate,Female,85+,Other Cancer,2
2012,Expatriate,Female,85+,Lymphoma,1
2012,Expatriate,Male,0-4,Lymphoma,1
2012,Expatriate,Male,0-4,Liver and intrahepatic bile ducts,1
2012,Expatriate,Male,0-4,Leukaemia,1
2012,Expatriate,Male,10-14,Leukaemia,1
2012,Expatriate,Male,15-19,Other Cancer,1
2012,Expatriate,Male,20-24,"Trachea, bronchus and lung",1
2012,Expatriate,Male,20-24,Other Cancer,1
2012,Expatriate,Male,20-24,Leukaemia,4
2012,Expatriate,Male,25-29,Leukaemia,1
2012,Expatriate,Male,30-34,"Trachea, bronchus and lung",1
2012,Expatriate,Male,30-34,Leukaemia,3
2012,Expatriate,Male,30-34,Colorectum,2
2012,Expatriate,Male,35-39,"Trachea, bronchus and lung",2
2012,Expatriate,Male,35-39,Lymphoma,1
2012,Expatriate,Male,35-39,Leukaemia,2
2012,Expatriate,Male,35-39,"Kidney, renal pelvis and ureter",1
2012,Expatriate,Male,35-39,Colorectum,1
2012,Expatriate,Male,35-39,"Brain, nervous system",1
2012,Expatriate,Male,40-44,Liver and intrahepatic bile ducts,1
2012,Expatriate,Male,40-44,"Lip, oral cavity",1
2012,Expatriate,Male,40-44,Leukaemia,1
2012,Expatriate,Male,40-44,Colorectum,1
2012,Expatriate,Male,45-49,Other Cancer,1
2012,Expatriate,Male,45-49,Oesophagus,1
2012,Expatriate,Male,45-49,Nasopharynx,1
2012,Expatriate,Male,45-49,Liver and intrahepatic bile ducts,1
2012,Expatriate,Male,45-49,"Kidney, renal pelvis and ureter",1
2012,Expatriate,Male,45-49,Gallbladder and extrahepatic ducts,1
2012,Expatriate,Male,45-49,Colorectum,1
2012,Expatriate,Male,45-49,"Brain, nervous system",2
2012,Expatriate,Male,50-54,"Trachea, bronchus and lung",3
2012,Expatriate,Male,50-54,Stomach,1
2012,Expatriate,Male,50-54,Pancreas,2
2012,Expatriate,Male,50-54,Other Cancer,1
2012,Expatriate,Male,50-54,Multiple myeloma,1
2012,Expatriate,Male,50-54,Liver and intrahepatic bile ducts,3
2012,Expatriate,Male,50-54,Leukaemia,4
2012,Expatriate,Male,50-54,Colorectum,2
2012,Expatriate,Male,50-54,"Brain, nervous system",2
2012,Expatriate,Male,55-59,"Trachea, bronchus and lung",5
2012,Expatriate,Male,55-59,Prostate,1
2012,Expatriate,Male,55-59,Pancreas,1
2012,Expatriate,Male,55-59,Other Cancer,1
2012,Expatriate,Male,55-59,Multiple myeloma,1
2012,Expatriate,Male,55-59,Lymphoma,1
2012,Expatriate,Male,55-59,Liver and intrahepatic bile ducts,3
2012,Expatriate,Male,55-59,"Lip, oral cavity",2
2012,Expatriate,Male,55-59,Leukaemia,4
2012,Expatriate,Male,55-59,Colorectum,2
2012,Expatriate,Male,55-59,"Brain, nervous system",2
2012,Expatriate,Male,60-64,"Trachea, bronchus and lung",2
2012,Expatriate,Male,60-64,Thyroid,1
2012,Expatriate,Male,60-64,Prostate,1
2012,Expatriate,Male,60-64,Pancreas,1
2012,Expatriate,Male,60-64,Other Cancer,1
2012,Expatriate,Male,60-64,Multiple myeloma,1
2012,Expatriate,Male,60-64,Lymphoma,2
2012,Expatriate,Male,60-64,Liver and intrahepatic bile ducts,3
2012,Expatriate,Male,60-64,"Kidney, renal pelvis and ureter",1
2012,Expatriate,Male,60-64,Colorectum,3
2012,Expatriate,Male,60-64,Bladder,1
2012,Expatriate,Male,65-69,"Trachea, bronchus and lung",3
2012,Expatriate,Male,65-69,Prostate,3
2012,Expatriate,Male,65-69,Other pharynx,1
2012,Expatriate,Male,65-69,Other Cancer,1
2012,Expatriate,Male,65-69,Lymphoma,1
2012,Expatriate,Male,65-69,"Lip, oral cavity",1
2012,Expatriate,Male,65-69,Colorectum,1
2012,Expatriate,Male,65-69,Bladder,1
2012,Expatriate,Male,70-74,"Trachea, bronchus and lung",4
2012,Expatriate,Male,70-74,Stomach,2
2012,Expatriate,Male,70-74,Prostate,3
2012,Expatriate,Male,70-74,Pancreas,3
2012,Expatriate,Male,70-74,Oesophagus,1
2012,Expatriate,Male,70-74,Multiple myeloma,1
2012,Expatriate,Male,70-74,Liver and intrahepatic bile ducts,2
2012,Expatriate,Male,70-74,Gallbladder and extrahepatic ducts,1
2012,Expatriate,Male,70-74,"Brain, nervous system",2
2012,Expatriate,Male,75-79,"Trachea, bronchus and lung",1
2012,Expatriate,Male,75-79,Pancreas,1
2012,Expatriate,Male,75-79,Liver and intrahepatic bile ducts,3
2012,Expatriate,Male,75-79,Bladder,1
2012,Expatriate,Male,80-84,Oesophagus,3
2012,Expatriate,Male,85+,Bladder,1
2012,Expatriate,NA,70-74,Stomach,1
2012,National,Female,0-4,"Brain, nervous system",1
2012,National,Female,5-9,Leukaemia,1
2012,National,Female,5-9,"Brain, nervous system",1
2012,National,Female,15-19,Leukaemia,1
2012,National,Female,20-24,Leukaemia,1
2012,National,Female,25-29,Other Cancer,1
2012,National,Female,25-29,Colorectum,1
2012,National,Female,40-44,Nasopharynx,1
2012,National,Female,40-44,Colorectum,1
2012,National,Female,40-44,Breast,1
2012,National,Female,45-49,"Trachea, bronchus and lung",1
2012,National,Female,45-49,Breast,2
2012,National,Female,50-54,Stomach,2
2012,National,Female,50-54,Other Cancer,2
2012,National,Female,50-54,Colorectum,2
2012,National,Female,55-59,Stomach,2
2012,National,Female,55-59,Pancreas,1
2012,National,Female,55-59,Other Cancer,1
2012,National,Female,55-59,Liver and intrahepatic bile ducts,1
2012,National,Female,55-59,Colorectum,1
2012,National,Female,55-59,Breast,2
2012,National,Female,60-64,Stomach,1
2012,National,Female,60-64,Other pharynx,1
2012,National,Female,60-64,Other Cancer,2
2012,National,Female,60-64,Liver and intrahepatic bile ducts,1
2012,National,Female,60-64,Gallbladder and extrahepatic ducts,1
2012,National,Female,60-64,Breast,5
2012,National,Female,65-69,Stomach,1
2012,National,Female,65-69,Oesophagus,1
2012,National,Female,65-69,Breast,1
2012,National,Female,70-74,"Trachea, bronchus and lung",1
2012,National,Female,70-74,Ovary,2
2012,National,Female,70-74,Liver and intrahepatic bile ducts,1
2012,National,Female,70-74,Breast,2
2012,National,Female,75-79,Other Cancer,1
2012,National,Female,75-79,Colorectum,1
2012,National,Female,75-79,Cervix uteri,1
2012,National,Female,75-79,"Brain, nervous system",1
2012,National,Female,80-84,Other Cancer,1
2012,National,Female,80-84,Multiple myeloma,1
2012,National,Female,80-84,Lymphoma,1
2012,National,Female,80-84,Colorectum,1
2012,National,Female,85+,"Trachea, bronchus and lung",1
2012,National,Female,85+,Ovary,1
2012,National,Female,85+,Oesophagus,1
2012,National,Female,85+,Lymphoma,1
2012,National,Female,85+,Colorectum,1
2012,National,Female,85+,Breast,1
2012,National,Male,5-9,Other Cancer,1
2012,National,Male,5-9,Melanoma of skin,1
2012,National,Male,5-9,Leukaemia,1
2012,National,Male,20-24,Other Cancer,1
2012,National,Male,20-24,"Kidney, renal pelvis and ureter",1
2012,National,Male,25-29,Leukaemia,1
2012,National,Male,30-34,Lymphoma,1
2012,National,Male,30-34,Leukaemia,1
2012,National,Male,40-44,"Trachea, bronchus and lung",1
2012,National,Male,45-49,"Trachea, bronchus and lung",2
2012,National,Male,45-49,Pancreas,1
2012,National,Male,45-49,Liver and intrahepatic bile ducts,2
2012,National,Male,45-49,"Brain, nervous system",1
2012,National,Male,50-54,"Trachea, bronchus and lung",1
2012,National,Male,50-54,Lymphoma,1
2012,National,Male,50-54,Leukaemia,1
2012,National,Male,50-54,Colorectum,2
2012,National,Male,55-59,"Trachea, bronchus and lung",1
2012,National,Male,55-59,Stomach,1
2012,National,Male,55-59,Melanoma of skin,1
2012,National,Male,55-59,Liver and intrahepatic bile ducts,1
2012,National,Male,60-64,"Trachea, bronchus and lung",2
2012,National,Male,60-64,Stomach,1
2012,National,Male,60-64,Pancreas,1
2012,National,Male,60-64,Other pharynx,1
2012,National,Male,60-64,"Kidney, renal pelvis and ureter",1
2012,National,Male,60-64,Colorectum,1
2012,National,Male,65-69,"Trachea, bronchus and lung",4
2012,National,Male,65-69,Stomach,2
2012,National,Male,65-69,Pancreas,1
2012,National,Male,65-69,Other Cancer,1
2012,National,Male,65-69,Liver and intrahepatic bile ducts,3
2012,National,Male,65-69,"Lip, oral cavity",1
2012,National,Male,65-69,Colorectum,1
2012,National,Male,65-69,"Brain, nervous system",1
2012,National,Male,65-69,Bladder,1
2012,National,Male,70-74,"Trachea, bronchus and lung",1
2012,National,Male,70-74,Liver and intrahepatic bile ducts,2
2012,National,Male,70-74,Colorectum,2
2012,National,Male,70-74,Breast,1
2012,National,Male,70-74,"Brain, nervous system",1
2012,National,Male,75-79,"Trachea, bronchus and lung",1
2012,National,Male,75-79,Prostate,2
2012,National,Male,80-84,"Trachea, bronchus and lung",3
2012,National,Male,80-84,Stomach,2
2012,National,Male,80-84,Oesophagus,2
2012,National,Male,80-84,Liver and intrahepatic bile ducts,3
2012,National,Male,80-84,Colorectum,1
2012,National,Male,80-84,Bladder,1
2012,National,Male,85+,Stomach,3
2012,National,Male,85+,Other pharynx,1
2012,National,Male,85+,Multiple myeloma,1
2012,National,Male,85+,Leukaemia,1
2012,National,Male,85+,Colorectum,1
2013,Expatriate,Female,0-4,Other Cancer,1
2013,Expatriate,Female,0-4,Leukaemia,1
2013,Expatriate,Female,5-9,Other Cancer,1
2013,Expatriate,Female,5-9,"Brain, nervous system",1
2013,Expatriate,Female,10-14,Leukaemia,1
2013,Expatriate,Female,20-24,Leukaemia,1
2013,Expatriate,Female,25-29,Other Cancer,1
2013,Expatriate,Female,25-29,Leukaemia,3
2013,Expatriate,Female,25-29,Cervix uteri,2
2013,Expatriate,Female,30-34,Other pharynx,1
2013,Expatriate,Female,30-34,Other Cancer,1
2013,Expatriate,Female,35-39,Stomach,2
2013,Expatriate,Female,35-39,Colorectum,1
2013,Expatriate,Female,35-39,Breast,4
2013,Expatriate,Female,40-44,Stomach,1
2013,Expatriate,Female,40-44,Ovary,1
