Year,Age Group,Disease,Nationality,Cases
2011,65+,Typhoid Fever,Expatriate,1
2011,65+,Viral Hepatitis A,Expatriate,0
2011,65+,Viral Hepatitis B,Expatriate,8
2011,65+,Viral Hepatitis C,Expatriate,18
2011,65+,Viral Meningitis,Expatriate,0
2011,65+,Whooping Cough,Expatriate,0
2011,0-14,Acute Encephalitis,NA,0
2011,0-14,Acute Flaccid Paralysis,NA,0
2011,0-14,Brucellosis,NA,0
2011,0-14,Chickenpox,NA,2
2011,0-14,Extra Pulmonary Tuberculosis,NA,0
2011,0-14,Giardia Lambia,NA,0
2011,0-14,Gonorrhoea,NA,0
2011,0-14,Malaria,NA,0
2011,0-14,Measles,NA,0
2011,0-14,Mumps,NA,0
2011,0-14,Other,NA,1
2011,0-14,Other Food Poisoning,NA,0
2011,0-14,Other STD,NA,0
2011,0-14,Other Viral Hepatitis,NA,0
2011,0-14,Pulmonary Tuberculosis,NA,0
2011,0-14,Rubella,NA,0
2011,0-14,Scabies,NA,0
2011,0-14,Scarlet  Fever,NA,0
2011,0-14,Seasonal Influenza,NA,0
2011,0-14,Syphilis,NA,0
2011,0-14,Tetanus,NA,0
2011,0-14,Typhoid Fever,NA,0
2011,0-14,Viral Hepatitis A,NA,0
2011,0-14,Viral Hepatitis B,NA,0
2011,0-14,Viral Hepatitis C,NA,0
2011,0-14,Viral Meningitis,NA,0
2011,0-14,Whooping Cough,NA,0
2011,0-14,Acute Encephalitis,National,1
2011,0-14,Acute Flaccid Paralysis,National,5
2011,0-14,Brucellosis,National,15
2011,0-14,Chickenpox,National,4282
2011,0-14,Extra Pulmonary Tuberculosis,National,1
2011,0-14,Giardia Lambia,National,8
2011,0-14,Gonorrhoea,National,0
2011,0-14,Malaria,National,0
2011,0-14,Measles,National,12
2011,0-14,Mumps,National,61
2011,0-14,Other,National,79
2011,0-14,Other Food Poisoning,National,197
2011,0-14,Other STD,National,1
2011,0-14,Other Viral Hepatitis,National,0
2011,0-14,Pulmonary Tuberculosis,National,1
2011,0-14,Rubella,National,3
2011,0-14,Scabies,National,23
2011,0-14,Scarlet  Fever,National,139
2011,0-14,Seasonal Influenza,National,59
2011,0-14,Syphilis,National,1
2011,0-14,Tetanus,National,0
2011,0-14,Typhoid Fever,National,11
2011,0-14,Viral Hepatitis A,National,30
2011,0-14,Viral Hepatitis B,National,4
2011,0-14,Viral Hepatitis C,National,1
2011,0-14,Viral Meningitis,National,7
2011,0-14,Whooping Cough,National,31
2011,15-34,Acute Encephalitis,National,0
2011,15-34,Acute Flaccid Paralysis,National,0
2011,15-34,Brucellosis,National,8
2011,15-34,Chickenpox,National,441
2011,15-34,Extra Pulmonary Tuberculosis,National,8
2011,15-34,Giardia Lambia,National,2
2011,15-34,Gonorrhoea,National,17
2011,15-34,Malaria,National,0
2011,15-34,Measles,National,1
2011,15-34,Mumps,National,8
2011,15-34,Other,National,124
2011,15-34,Other Food Poisoning,National,64
2011,15-34,Other STD,National,62
2011,15-34,Other Viral Hepatitis,National,0
2011,15-34,Pulmonary Tuberculosis,National,15
2011,15-34,Rubella,National,1
2011,15-34,Scabies,National,33
2011,15-34,Scarlet  Fever,National,0
2011,15-34,Seasonal Influenza,National,56
2011,15-34,Syphilis,National,8
2011,15-34,Tetanus,National,0
2011,15-34,Typhoid Fever,National,10
2011,15-34,Viral Hepatitis A,National,11
2011,15-34,Viral Hepatitis B,National,108
2011,15-34,Viral Hepatitis C,National,20
2011,15-34,Viral Meningitis,National,1
2011,15-34,Whooping Cough,National,0
2011,35-54,Acute Encephalitis,National,1
2011,35-54,Acute Flaccid Paralysis,National,0
2011,35-54,Brucellosis,National,10
2011,35-54,Chickenpox,National,54
2011,35-54,Extra Pulmonary Tuberculosis,National,6
2011,35-54,Giardia Lambia,National,1
2011,35-54,Gonorrhoea,National,1
2011,35-54,Malaria,National,2
2011,35-54,Measles,National,0
2011,35-54,Mumps,National,2
2011,35-54,Other,National,54
2011,35-54,Other Food Poisoning,National,8
2011,35-54,Other STD,National,36
2011,35-54,Other Viral Hepatitis,National,0
2011,35-54,Pulmonary Tuberculosis,National,7
2011,35-54,Rubella,National,0
2011,35-54,Scabies,National,11
2011,35-54,Scarlet  Fever,National,0
2011,35-54,Seasonal Influenza,National,10
2011,35-54,Syphilis,National,7
2011,35-54,Tetanus,National,0
2011,35-54,Typhoid Fever,National,9
2011,35-54,Viral Hepatitis A,National,0
2011,35-54,Viral Hepatitis B,National,68
2011,35-54,Viral Hepatitis C,National,24
2011,35-54,Viral Meningitis,National,0
2011,35-54,Whooping Cough,National,0
2011,55-64,Acute Encephalitis,National,0
2011,55-64,Acute Flaccid Paralysis,National,0
2011,55-64,Brucellosis,National,2
2011,55-64,Chickenpox,National,8
2011,55-64,Extra Pulmonary Tuberculosis,National,2
2011,55-64,Giardia Lambia,National,0
2011,55-64,Gonorrhoea,National,0
2011,55-64,Malaria,National,0
2011,55-64,Measles,National,0
2011,55-64,Mumps,National,0
2011,55-64,Other,National,5
2011,55-64,Other Food Poisoning,National,2
2011,55-64,Other STD,National,2
2011,55-64,Other Viral Hepatitis,National,0
2011,55-64,Pulmonary Tuberculosis,National,3
2011,55-64,Rubella,National,0
2011,55-64,Scabies,National,2
2011,55-64,Scarlet  Fever,National,0
2011,55-64,Seasonal Influenza,National,4
2011,55-64,Syphilis,National,2
2011,55-64,Tetanus,National,0
2011,55-64,Typhoid Fever,National,3
2011,55-64,Viral Hepatitis A,National,1
2011,55-64,Viral Hepatitis B,National,15
2011,55-64,Viral Hepatitis C,National,21
2011,55-64,Viral Meningitis,National,0
2011,55-64,Whooping Cough,National,0
2011,65+,Acute Encephalitis,National,0
2011,65+,Acute Flaccid Paralysis,National,0
2011,65+,Brucellosis,National,3
2011,65+,Chickenpox,National,1
2011,65+,Extra Pulmonary Tuberculosis,National,3
2011,65+,Giardia Lambia,National,2
2011,65+,Gonorrhoea,National,0
2011,65+,Malaria,National,0
2011,65+,Measles,National,0
2011,65+,Mumps,National,0
2011,65+,Other,National,7
2011,65+,Other Food Poisoning,National,0
2011,65+,Other STD,National,1
2011,65+,Other Viral Hepatitis,National,0
2011,65+,Pulmonary Tuberculosis,National,4
2011,65+,Rubella,National,0
2011,65+,Scabies,National,3
2011,65+,Scarlet  Fever,National,0
2011,65+,Seasonal Influenza,National,6
2011,65+,Syphilis,National,1
2011,65+,Tetanus,National,0
2011,65+,Typhoid Fever,National,2
2011,65+,Viral Hepatitis A,National,0
2011,65+,Viral Hepatitis B,National,7
2011,65+,Viral Hepatitis C,National,13
2011,65+,Viral Meningitis,National,0
2011,65+,Whooping Cough,National,0
2012,0-14,Acute Encephalitis,Expatriate,4
2012,0-14,Acute Flaccid Paralysis,Expatriate,15
2012,0-14,Brucellosis,Expatriate,9
2012,0-14,Chickenpox,Expatriate,3054
2012,0-14,Extra Pulmonary Tuberculosis,Expatriate,5
2012,0-14,Giardia Lambia,Expatriate,16
2012,0-14,Gonorrhoea,Expatriate,0
2012,0-14,Malaria,Expatriate,66
2012,0-14,Measles,Expatriate,31
2012,0-14,Mumps,Expatriate,72
2012,0-14,Other,Expatriate,218
2012,0-14,Other Food Poisoning,Expatriate,329
2012,0-14,Other STD,Expatriate,1
2012,0-14,Other Viral Hepatitis,Expatriate,0
2012,0-14,Pulmonary Tuberculosis,Expatriate,6
2012,0-14,Rubella,Expatriate,3
2012,0-14,Scabies,Expatriate,81
2012,0-14,Scarlet  Fever,Expatriate,103
2012,0-14,Seasonal Influenza,Expatriate,48
2012,0-14,Syphilis,Expatriate,1
2012,0-14,Tetanus,Expatriate,0
2012,0-14,Typhoid Fever,Expatriate,56
2012,0-14,Viral Hepatitis A,Expatriate,108
2012,0-14,Viral Hepatitis B,Expatriate,3
2012,0-14,Viral Hepatitis C,Expatriate,2
2012,0-14,Viral Meningitis,Expatriate,10
2012,0-14,Whooping Cough,Expatriate,22
2012,15-34,Acute Encephalitis,Expatriate,8
2012,15-34,Acute Flaccid Paralysis,Expatriate,0
2012,15-34,Brucellosis,Expatriate,31
2012,15-34,Chickenpox,Expatriate,2680
2012,15-34,Extra Pulmonary Tuberculosis,Expatriate,115
2012,15-34,Giardia Lambia,Expatriate,36
2012,15-34,Gonorrhoea,Expatriate,14
2012,15-34,Malaria,Expatriate,1734
2012,15-34,Measles,Expatriate,8
2012,15-34,Mumps,Expatriate,52
2012,15-34,Other,Expatriate,216
2012,15-34,Other Food Poisoning,Expatriate,224
2012,15-34,Other STD,Expatriate,39
2012,15-34,Other Viral Hepatitis,Expatriate,12
2012,15-34,Pulmonary Tuberculosis,Expatriate,207
2012,15-34,Rubella,Expatriate,11
2012,15-34,Scabies,Expatriate,368
2012,15-34,Scarlet  Fever,Expatriate,0
2012,15-34,Seasonal Influenza,Expatriate,46
2012,15-34,Syphilis,Expatriate,30
2012,15-34,Tetanus,Expatriate,1
2012,15-34,Typhoid Fever,Expatriate,236
2012,15-34,Viral Hepatitis A,Expatriate,56
2012,15-34,Viral Hepatitis B,Expatriate,256
2012,15-34,Viral Hepatitis C,Expatriate,128
2012,15-34,Viral Meningitis,Expatriate,9
2012,15-34,Whooping Cough,Expatriate,0
2012,35-54,Acute Encephalitis,Expatriate,3
2012,35-54,Acute Flaccid Paralysis,Expatriate,0
2012,35-54,Brucellosis,Expatriate,19
2012,35-54,Chickenpox,Expatriate,745
2012,35-54,Extra Pulmonary Tuberculosis,Expatriate,46
2012,35-54,Giardia Lambia,Expatriate,29
2012,35-54,Gonorrhoea,Expatriate,7
2012,35-54,Malaria,Expatriate,802
2012,35-54,Measles,Expatriate,1
2012,35-54,Mumps,Expatriate,25
2012,35-54,Other,Expatriate,183
2012,35-54,Other Food Poisoning,Expatriate,121
2012,35-54,Other STD,Expatriate,16
2012,35-54,Other Viral Hepatitis,Expatriate,0
2012,35-54,Pulmonary Tuberculosis,Expatriate,87
2012,35-54,Rubella,Expatriate,2
2012,35-54,Scabies,Expatriate,195
2012,35-54,Scarlet  Fever,Expatriate,0
2012,35-54,Seasonal Influenza,Expatriate,49
2012,35-54,Syphilis,Expatriate,40
2012,35-54,Tetanus,Expatriate,1
2012,35-54,Typhoid Fever,Expatriate,115
2012,35-54,Viral Hepatitis A,Expatriate,8
2012,35-54,Viral Hepatitis B,Expatriate,201
2012,35-54,Viral Hepatitis C,Expatriate,240
2012,35-54,Viral Meningitis,Expatriate,6
2012,35-54,Whooping Cough,Expatriate,0
2012,55-64,Acute Encephalitis,Expatriate,0
2012,55-64,Acute Flaccid Paralysis,Expatriate,0
2012,55-64,Brucellosis,Expatriate,6
2012,55-64,Chickenpox,Expatriate,34
2012,55-64,Extra Pulmonary Tuberculosis,Expatriate,6
2012,55-64,Giardia Lambia,Expatriate,4
2012,55-64,Gonorrhoea,Expatriate,0
2012,55-64,Malaria,Expatriate,102
2012,55-64,Measles,Expatriate,0
2012,55-64,Mumps,Expatriate,0
2012,55-64,Other,Expatriate,28
2012,55-64,Other Food Poisoning,Expatriate,10
2012,55-64,Other STD,Expatriate,0
2012,55-64,Other Viral Hepatitis,Expatriate,1
2012,55-64,Pulmonary Tuberculosis,Expatriate,12
2012,55-64,Rubella,Expatriate,0
2012,55-64,Scabies,Expatriate,19
2012,55-64,Scarlet  Fever,Expatriate,0
2012,55-64,Seasonal Influenza,Expatriate,6
2012,55-64,Syphilis,Expatriate,4
2012,55-64,Tetanus,Expatriate,0
2012,55-64,Typhoid Fever,Expatriate,10
2012,55-64,Viral Hepatitis A,Expatriate,2
2012,55-64,Viral Hepatitis B,Expatriate,33
2012,55-64,Viral Hepatitis C,Expatriate,64
2012,55-64,Viral Meningitis,Expatriate,0
2012,55-64,Whooping Cough,Expatriate,0
2012,65+,Acute Encephalitis,Expatriate,0
2012,65+,Acute Flaccid Paralysis,Expatriate,0
2012,65+,Brucellosis,Expatriate,1
2012,65+,Chickenpox,Expatriate,2
2012,65+,Extra Pulmonary Tuberculosis,Expatriate,3
2012,65+,Giardia Lambia,Expatriate,1
2012,65+,Gonorrhoea,Expatriate,1
2012,65+,Malaria,Expatriate,6
2012,65+,Measles,Expatriate,0
2012,65+,Mumps,Expatriate,0
2012,65+,Other,Expatriate,7
2012,65+,Other Food Poisoning,Expatriate,2
2012,65+,Other STD,Expatriate,0
2012,65+,Other Viral Hepatitis,Expatriate,0
2012,65+,Pulmonary Tuberculosis,Expatriate,5
2012,65+,Rubella,Expatriate,0
2012,65+,Scabies,Expatriate,2
2012,65+,Scarlet  Fever,Expatriate,0
2012,65+,Seasonal Influenza,Expatriate,5
2012,65+,Syphilis,Expatriate,0
2012,65+,Tetanus,Expatriate,0
2012,65+,Typhoid Fever,Expatriate,1
2012,65+,Viral Hepatitis A,Expatriate,0
2012,65+,Viral Hepatitis B,Expatriate,8
2012,65+,Viral Hepatitis C,Expatriate,14
2012,65+,Viral Meningitis,Expatriate,0
2012,65+,Whooping Cough,Expatriate,0
2012,0-14,Acute Encephalitis,NA,0
2012,0-14,Acute Flaccid Paralysis,NA,0
2012,0-14,Brucellosis,NA,0
2012,0-14,Chickenpox,NA,1
2012,0-14,Extra Pulmonary Tuberculosis,NA,0
2012,0-14,Giardia Lambia,NA,0
2012,0-14,Gonorrhoea,NA,0
2012,0-14,Malaria,NA,0
2012,0-14,Measles,NA,0
2012,0-14,Mumps,NA,0
2012,0-14,Other,NA,1
2012,0-14,Other Food Poisoning,NA,1
2012,0-14,Other STD,NA,0
2012,0-14,Other Viral Hepatitis,NA,0
2012,0-14,Pulmonary Tuberculosis,NA,0
2012,0-14,Rubella,NA,0
2012,0-14,Scabies,NA,0
2012,0-14,Scarlet  Fever,NA,0
2012,0-14,Seasonal Influenza,NA,0
2012,0-14,Syphilis,NA,0
2012,0-14,Tetanus,NA,0
2012,0-14,Typhoid Fever,NA,0
2012,0-14,Viral Hepatitis A,NA,0
2012,0-14,Viral Hepatitis B,NA,0
2012,0-14,Viral Hepatitis C,NA,0
2012,0-14,Viral Meningitis,NA,0
2012,0-14,Whooping Cough,NA,0
2012,0-14,Acute Encephalitis,National,5
2012,0-14,Acute Flaccid Paralysis,National,6
2012,0-14,Brucellosis,National,30
2012,0-14,Chickenpox,National,3067
2012,0-14,Extra Pulmonary Tuberculosis,National,2
2012,0-14,Giardia Lambia,National,12
2012,0-14,Gonorrhoea,National,1
2012,0-14,Malaria,National,0
2012,0-14,Measles,National,15
2012,0-14,Mumps,National,44
2012,0-14,Other,National,113
2012,0-14,Other Food Poisoning,National,362
2012,0-14,Other STD,National,0
2012,0-14,Other Viral Hepatitis,National,0
2012,0-14,Pulmonary Tuberculosis,National,0
2012,0-14,Rubella,National,2
2012,0-14,Scabies,National,33
2012,0-14,Scarlet  Fever,National,98
2012,0-14,Seasonal Influenza,National,96
2012,0-14,Syphilis,National,0
2012,0-14,Tetanus,National,0
2012,0-14,Typhoid Fever,National,6
2012,0-14,Viral Hepatitis A,National,83
2012,0-14,Viral Hepatitis B,National,1
2012,0-14,Viral Hepatitis C,National,0
2012,0-14,Viral Meningitis,National,20
2012,0-14,Whooping Cough,National,31
2012,15-34,Acute Encephalitis,National,1
2012,15-34,Acute Flaccid Paralysis,National,0
2012,15-34,Brucellosis,National,19
2012,15-34,Chickenpox,National,253
2012,15-34,Extra Pulmonary Tuberculosis,National,9
2012,15-34,Giardia Lambia,National,4
2012,15-34,Gonorrhoea,National,18
2012,15-34,Malaria,National,3
2012,15-34,Measles,National,1
2012,15-34,Mumps,National,3
2012,15-34,Other,National,81
2012,15-34,Other Food Poisoning,National,75
2012,15-34,Other STD,National,60
2012,15-34,Other Viral Hepatitis,National,1
2012,15-34,Pulmonary Tuberculosis,National,12
2012,15-34,Rubella,National,0
2012,15-34,Scabies,National,35
2012,15-34,Scarlet  Fever,National,0
2012,15-34,Seasonal Influenza,National,31
2012,15-34,Syphilis,National,4
2012,15-34,Tetanus,National,0
2012,15-34,Typhoid Fever,National,17
2012,15-34,Viral Hepatitis A,National,22
2012,15-34,Viral Hepatitis B,National,102
2012,15-34,Viral Hepatitis C,National,13
2012,15-34,Viral Meningitis,National,6
2012,15-34,Whooping Cough,National,0
2012,35-54,Acute Encephalitis,National,3
2012,35-54,Acute Flaccid Paralysis,National,0
2012,35-54,Brucellosis,National,17
2012,35-54,Chickenpox,National,28
2012,35-54,Extra Pulmonary Tuberculosis,National,3
2012,35-54,Giardia Lambia,National,1
2012,35-54,Gonorrhoea,National,2
2012,35-54,Malaria,National,1
2012,35-54,Measles,National,0
2012,35-54,Mumps,National,2
2012,35-54,Other,National,14
2012,35-54,Other Food Poisoning,National,15
2012,35-54,Other STD,National,19
2012,35-54,Other Viral Hepatitis,National,0
2012,35-54,Pulmonary Tuberculosis,National,5
2012,35-54,Rubella,National,0
2012,35-54,Scabies,National,18
2012,35-54,Scarlet  Fever,National,0
2012,35-54,Seasonal Influenza,National,11
2012,35-54,Syphilis,National,7
2012,35-54,Tetanus,National,0
2012,35-54,Typhoid Fever,National,1
2012,35-54,Viral Hepatitis A,National,0
2012,35-54,Viral Hepatitis B,National,40
2012,35-54,Viral Hepatitis C,National,45
2012,35-54,Viral Meningitis,National,0
2012,35-54,Whooping Cough,National,0
2012,55-64,Acute Encephalitis,National,1
2012,55-64,Acute Flaccid Paralysis,National,0
2012,55-64,Brucellosis,National,2
2012,55-64,Chickenpox,National,3
2012,55-64,Extra Pulmonary Tuberculosis,National,2
2012,55-64,Giardia Lambia,National,0
2012,55-64,Gonorrhoea,National,1
2012,55-64,Malaria,National,0
2012,55-64,Measles,National,0
2012,55-64,Mumps,National,0
2012,55-64,Other,National,9
2012,55-64,Other Food Poisoning,National,2
2012,55-64,Other STD,National,1
2012,55-64,Other Viral Hepatitis,National,0
2012,55-64,Pulmonary Tuberculosis,National,9
2012,55-64,Rubella,National,0
2012,55-64,Scabies,National,2
2012,55-64,Scarlet  Fever,National,0
2012,55-64,Seasonal Influenza,National,3
2012,55-64,Syphilis,National,1
2012,55-64,Tetanus,National,0
2012,55-64,Typhoid Fever,National,0
2012,55-64,Viral Hepatitis A,National,0
2012,55-64,Viral Hepatitis B,National,13
2012,55-64,Viral Hepatitis C,National,12
2012,55-64,Viral Meningitis,National,0
2012,55-64,Whooping Cough,National,0
2012,65+,Acute Encephalitis,National,1
2012,65+,Acute Flaccid Paralysis,National,0
2012,65+,Brucellosis,National,1
2012,65+,Chickenpox,National,5
2012,65+,Extra Pulmonary Tuberculosis,National,1
2012,65+,Giardia Lambia,National,0
2012,65+,Gonorrhoea,National,0
2012,65+,Malaria,National,1
2012,65+,Measles,National,0
2012,65+,Mumps,National,0
2012,65+,Other,National,5
2012,65+,Other Food Poisoning,National,6
2012,65+,Other STD,National,0
2012,65+,Other Viral Hepatitis,National,0
2012,65+,Pulmonary Tuberculosis,National,7
2012,65+,Rubella,National,0
2012,65+,Scabies,National,5
2012,65+,Scarlet  Fever,National,0
2012,65+,Seasonal Influenza,National,3
2012,65+,Syphilis,National,1
2012,65+,Tetanus,National,0
2012,65+,Typhoid Fever,National,1
2012,65+,Viral Hepatitis A,National,0
2012,65+,Viral Hepatitis B,National,8
2012,65+,Viral Hepatitis C,National,9
2012,65+,Viral Meningitis,National,1
2012,65+,Whooping Cough,National,0
2013,0-4,Acute Encephalitis,Expatriate,Null
2013,0-4,Acute Flaccid Paralysis,Expatriate,3
2013,0-4,Brucellosis,Expatriate,3
2013,0-4,Chickenpox,Expatriate,497
2013,0-4,Extra Pulmonary Tuberculosis,Expatriate,1
2013,0-4,Giardia Lambia,Expatriate,15
2013,0-4,Gonorrhoea,Expatriate,1
2013,0-4,Malaria,Expatriate,22
2013,0-4,Measles,Expatriate,28
2013,0-4,Mumps,Expatriate,26
2013,0-4,Other,Expatriate,250
2013,0-4,Other Food Poisoning,Expatriate,264
2013,0-4,Other STD,Expatriate,Null
2013,0-4,Other Viral Hepatitis,Expatriate,Null
2013,0-4,Pulmonary Tuberculosis,Expatriate,Null
2013,0-4,Rubella,Expatriate,4
2013,0-4,Scabies,Expatriate,52
2013,0-4,Scarlet  Fever,Expatriate,61
2013,0-4,Seasonal Influenza,Expatriate,37
2013,0-4,Syphilis,Expatriate,Null
2013,0-4,Tetanus,Expatriate,Null
2013,0-4,Typhoid Fever,Expatriate,10
2013,0-4,Viral Hepatitis A,Expatriate,45
2013,0-4,Viral Hepatitis B,Expatriate,1
2013,0-4,Viral Hepatitis C,Expatriate,2
2013,0-4,Viral Meningitis,Expatriate,5
2013,0-4,Whooping Cough,Expatriate,10
2013,5-9,Acute Encephalitis,Expatriate,2
2013,5-9,Acute Flaccid Paralysis,Expatriate,1
2013,5-9,Brucellosis,Expatriate,1
2013,5-9,Chickenpox,Expatriate,412
2013,5-9,Extra Pulmonary Tuberculosis,Expatriate,1
2013,5-9,Giardia Lambia,Expatriate,3
2013,5-9,Gonorrhoea,Expatriate,Null
2013,5-9,Malaria,Expatriate,13
2013,5-9,Measles,Expatriate,8
2013,5-9,Mumps,Expatriate,32
2013,5-9,Other,Expatriate,53
2013,5-9,Other Food Poisoning,Expatriate,54
2013,5-9,Other STD,Expatriate,Null
2013,5-9,Other Viral Hepatitis,Expatriate,Null
2013,5-9,Pulmonary Tuberculosis,Expatriate,Null
2013,5-9,Rubella,Expatriate,Null
2013,5-9,Scabies,Expatriate,32
2013,5-9,Scarlet  Fever,Expatriate,41
2013,5-9,Seasonal Influenza,Expatriate,19
2013,5-9,Syphilis,Expatriate,Null
2013,5-9,Tetanus,Expatriate,Null
2013,5-9,Typhoid Fever,Expatriate,15
2013,5-9,Viral Hepatitis A,Expatriate,51
2013,5-9,Viral Hepatitis B,Expatriate,Null
2013,5-9,Viral Hepatitis C,Expatriate,1
2013,5-9,Viral Meningitis,Expatriate,11
