Year,Activity Type,Activity Type Chapter,% Value per Year
2011,Dental,"Dentures, Partial, Acrylic",0.01%
2011,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.00%
2011,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.00%
2011,Dental,"Crowns, Single Units
(Only)",0.16%
2011,Dental,Bleaching Vital,0.00%
2011,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.02%
2011,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.01%
2011,Dental,Appliances,0.00%
2011,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.00%
2011,Dental,Anaesthesia,0.04%
2011,DRG,Newborns & Other Neonates,3.04%
2011,DRG,Mental Diseases & Disorders,0.08%
2011,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.06%
2011,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.21%
2011,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.05%
2011,DRG,Diseases & Disorders Of The Urinary Tract,0.24%
2011,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.24%
2011,DRG,Diseases & Disorders Of The Respiratory System,3.55%
2011,DRG,Diseases & Disorders Of The Nervous System,0.37%
2011,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.13%
2011,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,0.57%
2011,DRG,Diseases & Disorders Of The Male Reproductive System,0.07%
2011,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.17%
2011,DRG,Diseases & Disorders Of The Female Reproductive System,0.29%
2011,DRG,Diseases & Disorders Of The Eye,0.05%
2011,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.19%
2011,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.28%
2011,DRG,Diseases & Disorders Of The Digestive System,0.67%
2011,DRG,Diseases & Disorders Of The Circulatory System,0.87%
2011,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.11%
2011,DRG,Childbirth,0.81%
2011,DRG,Alcohol/Drug Abuse & Dependence,0.03%
2011,Drug,Various,0.05%
2011,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.09%
2011,Drug,Sensory organs,0.26%
2011,Drug,Respiratory system,0.89%
2011,Drug,Nervous system,0.51%
2011,Drug,N/A,0.14%
2011,Drug,Musculo-skeletal system,0.69%
2011,Drug,Genito-urinary system and sex hormones,0.19%
2011,Drug,Dermatologicals,0.32%
2011,Drug,Cardiovascular system,2.57%
2011,Drug,Blood and blood forming organs,0.95%
2011,Drug,"Antiparasitic products, insecticides and repellents",0.02%
2011,Drug,Antineoplastic and immunomodulating agents,1.88%
2011,Drug,Antiinfectives for systemic use,2.24%
2011,Drug,Alimentary tract and metabolism,4.08%
2011,HCPCS,Vision Services,0.01%
2011,HCPCS,Transport Services Including Ambulance,0.09%
2011,HCPCS,Temporary Procedures/Professional Services,0.01%
2011,HCPCS,Temporary National Codes Established Medicaid,0.03%
2011,HCPCS,Temporary National Codes Established by Private Payers,0.02%
2011,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.02%
2011,HCPCS,Temporary Codes Assigned by CMS,0.07%
2011,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.00%
2011,HCPCS,Prosthetics,0.02%
2011,HCPCS,Orthotics,0.00%
2011,HCPCS,Medical and Surgical Supplies,1.23%
2011,HCPCS,Laboratory Services,0.13%
2011,HCPCS,Hearing Services,0.06%
2011,HCPCS,Gradient Compression Stockings,0.00%
2011,HCPCS,Enteral and Parenteral Therapy,0.04%
2011,HCPCS,Durable Medical Equipment,0.13%
2011,HCPCS,Drugs Other Than Chemotherapy,0.00%
2011,HCPCS,Dental Procedures,0.01%
2011,HCPCS,CMS Hospital Outpatient Payment System,0.38%
2011,HCPCS,"Administrative, Miscellaneous and Investigational",0.04%
2011,HCPCS,0,0.01%
2011,Service,Undefined services,0.00%
2011,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.00%
2011,Service,Special Care Baby Unit (SCBU),0.00%
2011,Service,Short Stay Room - Hourly Rate,0.00%
2011,Service,Short Stay  Room - Daily Rate,0.00%
2011,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.00%
2011,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.00%
2011,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.00%
2011,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.00%
2011,Service,Room and Board: Ward,0.04%
2011,Service,Room and Board:  VIP Room,0.03%
2011,Service,Room and Board:  Suite,0.01%
2011,Service,Room and Board: Shared Room,0.36%
2011,Service,Room and Board: Royal Suite,0.00%
2011,Service,Room and Board: Private Room Standard Suite,0.00%
2011,Service,Room and Board: Isolation Room,0.01%
2011,Service,Room and Board: First Class Room,1.81%
2011,Service,Recovery Room  - Hourly Rate,0.00%
2011,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.04%
2011,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.02%
2011,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.08%
2011,Service,Perdiem - Treatment or Observation Room - NOT inclusive of Laboratory and Radiology,0.31%
2011,Service,Perdiem - Short Stay,0.19%
2011,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.06%
2011,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.00%
2011,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.00%
2011,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.06%
2011,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.03%
2011,Service,Perdiem - Non- Medical Escort accommodation - Daily Rate,0.02%
2011,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.05%
2011,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.02%
2011,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.04%
2011,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.27%
2011,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.01%
2011,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.07%
2011,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,1.94%
2011,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.27%
2011,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.50%
2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.03%
2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.01%
2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01%
2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.70%
2011,Service,Perdiem - Haemodialysis  (HD),0.84%
2011,Service,Perdiem - Day Stay (Day Care) Room  - NOT inclusive of Laboratory and Radiology,0.11%
2011,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.00%
2011,Service,Perdiem - Day Stay (Day care) - Inclusive.,0.09%
2011,Service,Perdiem - Companion Accommodation,0.00%
2011,Service,Paediatric intensive care Unit (PICU),0.00%
2011,Service,Outlier Payment,1.11%
2011,Service,Operating Room Services - Minor Surgery,0.00%
2011,Service,Operating Room Services - General Classification,0.09%
2011,Service,Operating Room Services - First Hour,0.01%
2011,Service,Operating Room Services - Every Additional 1/2 hr.,0.00%
2011,Service,Nursery - General Classification,0.00%
2011,Service,Neonatal Intensive Care Unit (NICU),0.00%
2011,Service,Intensive Care Unit (ICU),0.01%
2011,Service,Delivery Room,0.00%
2011,Service,Day Stay (Day care) Room - Daily Rate,0.00%
2011,Service,Coronary Care Unit (CCU),0.00%
2011,Service,Consultation - Specialist - Follow Up within one week,0.00%
2011,Service,Consultation - Specialist,0.98%
2011,Service,Consultation - GP - Follow Up within one week,0.00%
2011,Service,Consultation - GP,0.51%
2011,Service,Consultation - Consultant - Follow Up within one week,0.00%
2011,Service,Consultation - Consultant,0.51%
2011,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.04%
2011,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.00%
2011,Service,Catheterization Lab,0.00%
2012,CPT,Urinary System,0.49%
2012,CPT,Respiratory System,0.62%
2012,CPT,Radiology,2.77%
2012,CPT,Radiologic Guidance,0.00%
2012,CPT,Radiation Oncology,0.18%
2012,CPT,Pathology & Laboratory,19.70%
2012,CPT,Operating Microscope,0.00%
2012,CPT,Nuclear Medicine,0.36%
2012,CPT,Nervous System,0.07%
2012,CPT,N/A,0.06%
2012,CPT,Musculoskeletal,1.15%
2012,CPT,Mediastinum & Diaphragm,0.00%
2012,CPT,Maternity Care & Delivery,0.32%
2012,CPT,Male Genital System,0.12%
2012,CPT,Integumentary,0.74%
2012,CPT,Hemic & Lymphatic Systems,0.01%
2012,CPT,General,0.02%
2012,CPT,Female Genital System,0.15%
2012,CPT,Eye & Ocular Adnexa,0.63%
2012,CPT,Evaluation & Management,13.47%
2012,CPT,Endocrine System,0.01%
2012,CPT,Digestive System,0.82%
2012,CPT,Diagnostic Ultrasound,3.14%
2012,CPT,Cardiovascular System,0.21%
2012,CPT,Breast Mammography,0.05%
2012,CPT,Bone/Joint Studies,0.04%
2012,CPT,Auditory System,0.18%
2012,CPT,Anesthesia,0.02%
2012,Dental,Unclassified Treatments,0.01%
2012,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.00%
2012,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.00%
2012,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.00%
2012,Dental,Surgical Incisions,0.00%
2012,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.01%
2012,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.00%
2012,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.29%
2012,Dental,"Restorative Services, Other",0.01%
2012,Dental,"Restorative Procedures, Overdentures",0.00%
2012,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.93%
2012,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.04%
2012,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.07%
2012,Dental,"Restorations, Foil, Gold",0.00%
2012,Dental,"Restorations, Amalgam",0.02%
2012,Dental,Restoration,0.07%
2012,Dental,Repairs,0.00%
2012,Dental,"Removals, (Extractions), Surgical",0.10%
2012,Dental,"Removals, (Extractions), Erupted Teeth",0.15%
2012,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.00%
2012,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.00%
2012,Dental,"Radiographs, Specialty Use Only",0.00%
2012,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.17%
2012,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.12%
2012,Dental,Professional Services,0.38%
2012,Dental,Primary Dentition,0.00%
2012,Dental,"Preventive Services, Other",0.08%
2012,Dental,"Pontics, Bridge",0.09%
2012,Dental,Polishing,0.19%
2012,Dental,Permanent Dentition,0.29%
2012,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.10%
2012,Dental,"Periodontal Services, Non Surgical",0.00%
2012,Dental,"Periodontal Services, Miscellaneous",0.00%
2012,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01%
2012,Dental,Periapical Services,0.00%
2012,Dental,"Orthodontic Services, Miscellaneous",0.01%
2012,Dental,"Oral Surgery Procedures, Other",0.24%
2012,Dental,Mixed Dentition,0.01%
2012,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.07%
2012,Dental,"Maxillofacial Deformities, Treatment Of",0.00%
2012,Dental,Master Cast Techniques,0.00%
2012,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.01%
2012,Dental,"Fractures, Treatment Of",0.00%
2012,Dental,"Fixed Prosthetics, Other Services",0.01%
2012,Dental,Fixed Bridge Retainers,0.14%
2012,Dental,"Examination And Diagnosis, Clinical Oral",0.37%
2012,Dental,"Endodontic, Procedures, Miscellaneous",0.02%
2012,Dental,"Drugs/Medication, Dispensing",0.00%
2012,Dental,"Dentures, Replication, Relining And Rebasing",0.00%
2012,Dental,"Dentures, Repairs/Additions",0.00%
2012,Dental,"Dentures, Partial, Cast With Acrylic Base",0.01%
2012,Dental,"Dentures, Partial, Acrylic",0.02%
2012,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01%
2012,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.00%
2012,Dental,"Crowns, Single Units
(Only)",0.45%
2012,Dental,Bleaching Vital,0.01%
2012,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.08%
2012,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.02%
2012,Dental,Appliances,0.01%
2012,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.00%
2012,Dental,Anaesthesia,0.02%
2012,DRG,Newborns & Other Neonates,4.22%
2012,DRG,Mental Diseases & Disorders,0.15%
2012,DRG,Medical Ambulatory Visits,0.00%
2012,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.10%
2012,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.50%
2012,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.08%
2012,DRG,Diseases & Disorders Of The Urinary Tract,0.54%
2012,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.45%
2012,DRG,Diseases & Disorders Of The Respiratory System,2.92%
2012,DRG,Diseases & Disorders Of The Nervous System,0.80%
2012,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.21%
2012,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.24%
2012,DRG,Diseases & Disorders Of The Male Reproductive System,0.12%
2012,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.44%
2012,DRG,Diseases & Disorders Of The Female Reproductive System,0.68%
2012,DRG,Diseases & Disorders Of The Eye,0.06%
2012,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.47%
2012,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.58%
2012,DRG,Diseases & Disorders Of The Digestive System,1.62%
2012,DRG,Diseases & Disorders Of The Circulatory System,2.00%
2012,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.24%
2012,DRG,Childbirth,2.83%
2012,DRG,Alcohol/Drug Abuse & Dependence,0.04%
2012,Drug,Various,0.14%
2012,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.28%
2012,Drug,Sensory organs,0.43%
2012,Drug,Respiratory system,1.66%
2012,Drug,Nervous system,0.84%
2012,Drug,N/A,1.15%
2012,Drug,Musculo-skeletal system,1.08%
2012,Drug,Genito-urinary system and sex hormones,0.43%
2012,Drug,Dermatologicals,0.47%
2012,Drug,Cardiovascular system,3.06%
2012,Drug,Blood and blood forming organs,1.12%
2012,Drug,"Antiparasitic products, insecticides and repellents",0.05%
2012,Drug,Antineoplastic and immunomodulating agents,2.17%
2012,Drug,Antiinfectives for systemic use,2.50%
2012,Drug,Alimentary tract and metabolism,5.20%
2012,HCPCS,Vision Services,0.01%
2012,HCPCS,Transport Services Including Ambulance,0.32%
2012,HCPCS,Temporary Procedures/Professional Services,0.00%
2012,HCPCS,Temporary National Codes Established Medicaid,0.06%
2012,HCPCS,Temporary National Codes Established by Private Payers,0.01%
2012,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.05%
2012,HCPCS,Temporary Codes Assigned by CMS,0.04%
2012,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02%
2012,HCPCS,Prosthetics,0.03%
2012,HCPCS,Orthotics,0.06%
2012,HCPCS,N/A,0.00%
2012,HCPCS,Medical and Surgical Supplies,0.94%
2012,HCPCS,Laboratory Services,0.01%
2012,HCPCS,Hearing Services,0.20%
2012,HCPCS,Gradient Compression Stockings,0.00%
2012,HCPCS,Enteral and Parenteral Therapy,0.16%
2012,HCPCS,Durable Medical Equipment,0.61%
2012,HCPCS,Drugs Other Than Chemotherapy,0.00%
2012,HCPCS,Dental Procedures,0.00%
2012,HCPCS,CMS Hospital Outpatient Payment System,0.07%
2012,HCPCS,"Administrative, Miscellaneous and Investigational",0.06%
2012,HCPCS,0,0.00%
2012,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.00%
2012,Service,Special Care Baby Unit (SCBU),0.00%
2012,Service,Short Stay Room - Hourly Rate,0.00%
2012,Service,Short Stay  Room - Daily Rate,0.00%
2012,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.00%
2012,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.00%
2012,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - Royal Suite,0.00%
2012,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.00%
2012,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.03%
2012,Service,Room and Board: Ward,0.01%
2012,Service,Room and Board:  VIP Room,0.00%
2012,Service,Room and Board:  Suite,0.00%
2012,Service,Room and Board: Shared Room,0.02%
2012,Service,Room and Board: Royal Suite,0.00%
2012,Service,Room and Board: Isolation Room,0.00%
2012,Service,Room and Board: First Class Room,0.15%
2012,Service,Recovery Room  - Hourly Rate,0.00%
2012,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.01%
2012,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.02%
2012,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.19%
2012,Service,Perdiem - Treatment or Observation Room - NOT inclusive of Laboratory and Radiology,0.18%
2012,Service,Perdiem - Short Stay,0.27%
2012,Service,Perdiem - SCU - Daily Rate (Day 9 and more),0.00%
2012,Service,Perdiem - SCU - Daily Rate (Day 4 to 8),0.00%
2012,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.01%
2012,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.00%
2012,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.00%
2012,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.00%
2012,Service,Perdiem - PICU - Daily Rate  (Day 22 and more),0.01%
2012,Service,Perdiem - PICU - Daily Rate (Day 15 to 21),0.00%
2012,Service,Perdiem - PICU - Daily Rate (Day 8 to 14),0.00%
2012,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.00%
2012,Service,Perdiem - Non- Medical Escort accommodation - Daily Rate,0.00%
2012,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.01%
2012,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.00%
2012,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.01%
2012,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.03%
2012,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 4 to 8),0.00%
2012,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.00%
2012,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.38%
2012,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,2.74%
2012,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.22%
2012,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.35%
2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.00%
2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.00%
2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01%
2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.11%
2012,Service,Perdiem - Haemodialysis  (HD),0.78%
2012,Service,Perdiem - Day Stay (Day care) Surgical Case - Inclusive.,0.19%
2012,Service,Perdiem - Day Stay (Day Care) Room  - NOT inclusive of Laboratory and Radiology,0.10%
2012,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.02%
2012,Service,Perdiem - Day Stay (Day care) - Inclusive.,0.15%
2012,Service,Perdiem - Companion Accommodation,0.00%
2012,Service,Paediatric intensive care Unit (PICU),0.00%
2012,Service,Outlier Payment,0.34%
2012,Service,Operating Room Services - Minor Surgery,0.00%
2012,Service,Operating Room Services - General Classification,0.02%
2012,Service,Operating Room Services - First Hour,0.02%
2012,Service,Operating Room Services - Every Additional 1/2 hr.,0.00%
2012,Service,Nursery - General Classification,0.00%
2012,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: more than 48 sq inches / 300 sq centimeters.",0.00%
2012,Service,"Non-surgical cleansing of a wound without debridement, with or without local anesthesia, with or without the application of a surgical dressing: between 16 sq inches / 100 sq centimeters  and 48 sq inches / 300 sq centimeters .",0.00%
