Year,Nationality,Gender,Cancer Site,Incidents
2014,Nationals,Male,Prostate Gland,14
2014,Nationals,Male,Pancreas,1
2014,Nationals,Male,Oropharynx,1
2014,Nationals,Male,Mouth,1
2014,Nationals,Male,Lymph Npdes,5
2014,Nationals,Male,Lung And Bronchus,12
2014,Nationals,Male,Liver,10
2014,Nationals,Male,Leukemia,21
2014,Nationals,Male,Larynx,3
2014,Nationals,Male,Kidney,7
2014,Nationals,Male,Heart,3
2014,Nationals,Male,Gallbladder,2
2014,Nationals,Male,Eye,1
2014,Nationals,Male,"Connective, Subcutaneous And Other Soft Tissue",1
2014,Nationals,Male,Colorectal,33
2014,Nationals,Male,Brain,8
2014,Nationals,Male,Bones,2
2014,Nationals,Male,Bladder,14
2014,Nationals,Male,Adrenal Gland,1
2015,Expatriates,Female,Uterus,4
2015,Expatriates,Female,Unknown Primary Site,8
2015,Expatriates,Female,Tonsil,2
2015,Expatriates,Female,Tongue,3
2015,Expatriates,Female,Thyroid Gland,102
2015,Expatriates,Female,Stomach,8
2015,Expatriates,Female,Small Intestine,5
2015,Expatriates,Female,Skin,4
2015,Expatriates,Female,Retroperitoneum And Peritoneum,1
2015,Expatriates,Female,Placenta,1
2015,Expatriates,Female,Parotid Gland,3
2015,Expatriates,Female,Pancreas,5
2015,Expatriates,Female,Ovary,15
2015,Expatriates,Female,Other Ill Defined Sites,3
2015,Expatriates,Female,Other Female Genital Tract,1
2015,Expatriates,Female,Oropharynx,1
2015,Expatriates,Female,Mouth,1
2015,Expatriates,Female,Lymph Nodes,12
2015,Expatriates,Female,Liver,7
2015,Expatriates,Female,Leukemia & Other Hematopoietic Systems,27
2015,Expatriates,Female,Kidney And Renal Pelvis,5
2015,Expatriates,Female,"Heart, Mediastinum, And Pleura",2
2015,Expatriates,Female,Gallbladder & Other Biliary Tract,4
2015,Expatriates,Female,Esophagus,2
2015,Expatriates,Female,Corpus Uteri,37
2015,Expatriates,Female,"Connective, Subcutaneous & Soft Tissue",4
2015,Expatriates,Female,Colorectal,35
2015,Expatriates,Female,Cervix Uteri,36
2015,Expatriates,Female,Bronchus And Lung,13
2015,Expatriates,Female,Breast,242
2015,Expatriates,Female,Brain,9
2015,Expatriates,Female,Bones,2
2015,Expatriates,Female,Bladder,4
2015,Expatriates,Female,Adrenal Gland,1
2015,Expatriates,Male,Unknown Primary Site,9
2015,Expatriates,Male,Tonsil,4
2015,Expatriates,Male,Tongue,8
2015,Expatriates,Male,Thyroid Gland,35
2015,Expatriates,Male,Thymus,2
2015,Expatriates,Male,Testis,12
2015,Expatriates,Male,Stomach,32
2015,Expatriates,Male,Spinal Cord And Other Cns System,1
2015,Expatriates,Male,Small Intestine,5
2015,Expatriates,Male,Skin,11
2015,Expatriates,Male,Retroperitoneum And Peritoneum,1
2015,Expatriates,Male,Prostate Gland,45
2015,Expatriates,Male,Penis,1
2015,Expatriates,Male,Parotid Gland,3
2015,Expatriates,Male,Pancreas,10
2015,Expatriates,Male,Other Urinary System,1
2015,Expatriates,Male,Other Digistive Organs,2
2015,Expatriates,Male,Nasopharynx,5
2015,Expatriates,Male,Mouth,17
2015,Expatriates,Male,Meninges,1
2015,Expatriates,Male,Lymph Nodes,43
2015,Expatriates,Male,Liver,19
2015,Expatriates,Male,Lip,1
2015,Expatriates,Male,Leukemia & Other Hematopoietic Systems,56
2015,Expatriates,Male,Larynx,21
2015,Expatriates,Male,Kidney And Renal Pelvis,24
2015,Expatriates,Male,Gallbladder & Other Biliary Tract,11
2015,Expatriates,Male,Eye,1
2015,Expatriates,Male,Esophagus,8
2015,Expatriates,Male,"Connective, Subcutaneous & Soft Tissue",15
2015,Expatriates,Male,Colorectal,89
2015,Expatriates,Male,Bronchus And Lung,51
2015,Expatriates,Male,Breast,3
2015,Expatriates,Male,Brain,19
2015,Expatriates,Male,Bones,7
2015,Expatriates,Male,Bladder,25
2015,Expatriates,Male,Adrenal Gland,2
2015,NA,Female,Unknown Primary Site,2
2015,NA,Female,Kidney And Renal Pelvis,1
2015,NA,Female,Colorectal,1
2015,NA,Female,Breast,4
2015,NA,Female,Bladder,1
2015,NA,Male,Unknown Primary Site,1
2015,NA,Male,Thyroid Gland,1
2015,NA,Male,Testis,3
2015,NA,Male,Stomach,2
2015,NA,Male,Salivary Gland,1
2015,NA,Male,Prostate Gland,4
2015,NA,Male,Penis,1
2015,NA,Male,Pancreas,1
2015,NA,Male,Other Endocrine Glands,1
2015,NA,Male,Mouth,1
2015,NA,Male,Lymph Nodes,2
2015,NA,Male,Kidney And Renal Pelvis,1
2015,NA,Male,Esophagus,1
2015,NA,Male,"Connective, Subcutaneous & Soft Tissue",1
2015,NA,Male,Colorectal,5
2015,NA,male,Bronchus And Lung,1
2015,NA,Male,Breast,1
2015,NA,Male,Bones,1
2015,NA,Male,Bladder,5
2015,Nationals,Female,Vulva,2
2015,Nationals,Female,Uterus,1
2015,Nationals,Female,Unknown Primary Site,3
2015,Nationals,Female,Tongue,2
2015,Nationals,Female,Thyroid Gland,45
2015,Nationals,Female,Stomach,2
2015,Nationals,Female,Retroperitoneum And Peritoneum,2
2015,Nationals,Female,Pancreas,6
2015,Nationals,Female,Ovary,9
2015,Nationals,Female,Other Ill Defined Sites,1
2015,Nationals,Female,Other Endocrine Glands,1
2015,Nationals,Female,Nasopharynx,1
2015,Nationals,Female,Mouth,1
2015,Nationals,Female,Lymph Nodes,13
2015,Nationals,Female,Liver,2
2015,Nationals,Female,Leukemia & Other Hematopoietic Systems,19
2015,Nationals,Female,Kidney And Renal Pelvis,7
2015,Nationals,Female,Gallbladder & Other Biliary Tract,1
2015,Nationals,Female,Corpus Uteri,18
2015,Nationals,Female,"Connective, Subcutaneous & Soft Tissue",4
2015,Nationals,Female,Colorectal,22
2015,Nationals,Female,Cervix Uteri,21
2015,Nationals,Female,Bronchus And Lung,6
2015,Nationals,Female,Breast,75
2015,Nationals,Female,Brain,4
2015,Nationals,Female,Bones,1
2015,Nationals,Female,Bladder,5
2015,Nationals,Male,Unknown Primary Site,2
2015,Nationals,Male,Tonsil,1
2015,Nationals,Male,Tongue,3
2015,Nationals,male,Thyroid Gland,16
2015,Nationals,Male,Testis,4
2015,Nationals,Male,Stomach,5
2015,Nationals,Male,Small Intestine,4
2015,Nationals,Male,Skin,6
2015,Nationals,Male,Prostate Gland,23
2015,Nationals,Male,Pharynx,1
2015,Nationals,Male,Pancreas,5
2015,Nationals,Male,Other Endocrine Glands,1
2015,Nationals,Male,Mouth,1
2015,Nationals,Male,Lymph Nodes,12
2015,Nationals,Male,Liver,5
2015,Nationals,Male,Leukemia & Other Hematopoietic Systems,26
2015,Nationals,Male,Larynx,3
2015,Nationals,Male,Kidney And Renal Pelvis,1
2015,Nationals,Male,"Heart, Mediastinum, And Pleura",2
2015,Nationals,Male,Gallbladder & Other Biliary Tract,1
2015,Nationals,Male,Eye,3
2015,Nationals,Male,Esophagus,1
2015,Nationals,Male,"Connective, Subcutaneous & Soft Tissue",2
2015,Nationals,Male,Colorectal,23
2015,Nationals,Male,Bronchus And Lung,13
2015,Nationals,Male,Brain,4
2015,Nationals,Male,Bones,2
2015,Nationals,Male,Bladder,17
2016,Expatriates,Female,Vagina,1
2016,Expatriates,Female,Uterus,43
2016,Expatriates,Female,Ureter,1
2016,Expatriates,Female,Unknown And Ill Defined Sites,4
2016,Expatriates,Female,Tonsil,1
2016,Expatriates,Female,Tongue,5
2016,Expatriates,Female,Thyroid Gland,96
2016,Expatriates,Female,Stomach,10
2016,Expatriates,Female,Small Intestine,3
2016,Expatriates,Female,Skin,11
2016,Expatriates,Female,Salivary Gland,2
2016,Expatriates,Female,Retroperitoneum And Peritoneum,2
2016,Expatriates,Female,Placenta,1
2016,Expatriates,Female,Pharynx,3
2016,Expatriates,Female,Parotid Gland,1
2016,Expatriates,Female,Pancreas,12
2016,Expatriates,Female,Ovary,17
2016,Expatriates,Female,Non-Hodgkin'S Lymphoma,23
2016,Expatriates,Female,Myelodysplastic Syndrome,1
2016,Expatriates,Female,Multiple Myeloma,3
2016,Expatriates,Female,Mouth,4
2016,Expatriates,Female,Melanoma Of Skin,1
2016,Expatriates,Female,Liver,15
2016,Expatriates,Female,Leukemia,30
2016,Expatriates,Female,Kidney And Renal Pelvis,8
2016,Expatriates,Female,Hodgkin'S Lymphoma,10
2016,Expatriates,Female,Gallbladder And Other Unspecified Parts Of Biliary Tract,4
2016,Expatriates,Female,Eye,2
2016,Expatriates,Female,Esophagus,4
2016,Expatriates,Female,Connective And Soft Tissue,11
2016,Expatriates,Female,Colorectum,36
2016,Expatriates,Female,Cervix Uteri,31
2016,Expatriates,Female,Bronchus And Lung,11
2016,Expatriates,Female,Breast,225
2016,Expatriates,Female,Brain And Other Cns,9
2016,Expatriates,Female,Bone And Cartilage,2
2016,Expatriates,Female,Bladder,4
2016,Expatriates,Male,Unknown And Ill Defined Sites,9
2016,Expatriates,Male,Tongue,9
2016,Expatriates,Male,Thyroid Gland,40
2016,Expatriates,Male,Testis,22
2016,Expatriates,Male,Stomach,23
2016,Expatriates,Male,Small Intestine,1
2016,Expatriates,Male,Skin,33
2016,Expatriates,Male,Salivary Gland,4
2016,Expatriates,Male,Retroperitoneum And Peritoneum,3
2016,Expatriates,Male,Prostate Gland,58
2016,Expatriates,Male,Pharynx,15
2016,Expatriates,Male,Parotid Gland,4
2016,Expatriates,Male,Pancreas,16
2016,Expatriates,Male,Other Endocrine Glands,1
2016,Expatriates,Male,Other And Ill Defined Digistive Organs,1
2016,Expatriates,Male,Non-Hodgkin'S Lymphoma,38
2016,Expatriates,Male,Multiple Myeloma,14
2016,Expatriates,Male,Mouth,13
2016,Expatriates,Male,Melanoma Of Skin,4
2016,Expatriates,Male,Liver,18
2016,Expatriates,Male,Lip,1
2016,Expatriates,Male,Leukemia,55
2016,Expatriates,Male,Larynx,13
2016,Expatriates,Male,Kidney And Renal Pelvis,34
2016,Expatriates,Male,Kaposi Sarcoma,1
2016,Expatriates,Male,Hodgkin'S Lymphoma,8
2016,Expatriates,Male,"Heart, Mediastinum, And Pleura (Including Mesothelioma)",3
2016,Expatriates,Male,Gallbladder And Other Unspecified Parts Of Biliary Tract,11
2016,Expatriates,Male,Eye,1
2016,Expatriates,Male,Esophagus,4
2016,Expatriates,Male,Connective And Soft Tissue,11
2016,Expatriates,Male,Colorectum,75
2016,Expatriates,Male,Bronchus And Lung,48
2016,Expatriates,Male,Breast,2
2016,Expatriates,Male,Brain And Other Cns,20
2016,Expatriates,Male,Bone And Cartilage,9
2016,Expatriates,Male,Bladder,24
2016,NA,Female,Uterus,1
2016,NA,Female,Skin,1
2016,NA,Female,Liver,1
2016,NA,Female,Colorectum,3
2016,NA,Female,Breast,2
2016,NA,Male,Unknown And Ill Defined Sites,5
2016,NA,Male,Tongue,1
2016,NA,Male,Thyroid Gland,1
2016,NA,Male,Stomach,3
2016,NA,Male,Skin,2
2016,NA,Male,Pharynx,1
2016,NA,Male,Mouth,1
2016,NA,Male,Kidney And Renal Pelvis,1
2016,NA,Male,"Heart, Mediastinum, And Pleura (Including Mesothelioma)",2
2016,NA,Male,Esophagus,1
2016,NA,Male,Colorectum,9
2016,NA,Male,Bladder,1
2016,Nationals,Female,Vagina,1
2016,Nationals,Female,Uterus,16
2016,Nationals,Female,Unknown And Ill Defined Sites,7
2016,Nationals,Female,Tongue,2
2016,Nationals,Female,Thyroid Gland,66
2016,Nationals,Female,Stomach,6
2016,Nationals,Female,Small Intestine,3
2016,Nationals,Female,Skin,2
2016,Nationals,Female,Retroperitoneum And Peritoneum,1
2016,Nationals,Female,Prostate Gland,1
2016,Nationals,Female,Placenta,1
2016,Nationals,Female,Pancreas,4
2016,Nationals,Female,Ovary,6
2016,Nationals,Female,Other And Ill Defined Digistive Organs,2
2016,Nationals,Female,Non-Hodgkin'S Lymphoma,6
2016,Nationals,Female,"Nasal Cavity, Middle Ear, Accessory Sinus",1
2016,Nationals,Female,Multiple Myeloma,3
2016,Nationals,Female,Mouth,1
2016,Nationals,Female,Liver,4
