,Year,Activity_Type,Activity_Type_Chapter,Percentage_Value_per_Year
79,2011,Dental,"Crowns, Single Units
(Only)",0.16
80,2011,Dental,Bleaching Vital,0.0
81,2011,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.02
82,2011,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.01
83,2011,Dental,Appliances,0.0
84,2011,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.0
85,2011,Dental,Anaesthesia,0.04
86,2011,DRG,Newborns & Other Neonates,3.04
87,2011,DRG,Mental Diseases & Disorders,0.08
88,2011,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.06
89,2011,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.21
90,2011,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.05
91,2011,DRG,Diseases & Disorders Of The Urinary Tract,0.24
92,2011,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.24
93,2011,DRG,Diseases & Disorders Of The Respiratory System,3.55
94,2011,DRG,Diseases & Disorders Of The Nervous System,0.37
95,2011,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.13
96,2011,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,0.57
97,2011,DRG,Diseases & Disorders Of The Male Reproductive System,0.07
98,2011,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.17
99,2011,DRG,Diseases & Disorders Of The Female Reproductive System,0.29
100,2011,DRG,Diseases & Disorders Of The Eye,0.05
101,2011,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.19
102,2011,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.28
103,2011,DRG,Diseases & Disorders Of The Digestive System,0.67
104,2011,DRG,Diseases & Disorders Of The Circulatory System,0.87
105,2011,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.11
106,2011,DRG,Childbirth,0.81
107,2011,DRG,Alcohol/Drug Abuse & Dependence,0.03
108,2011,Drug,Various,0.05
109,2011,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.09
110,2011,Drug,Sensory organs,0.26
111,2011,Drug,Respiratory system,0.89
112,2011,Drug,Nervous system,0.51
113,2011,Drug,,0.14
114,2011,Drug,Musculo-skeletal system,0.69
115,2011,Drug,Genito-urinary system and sex hormones,0.19
116,2011,Drug,Dermatologicals,0.32
117,2011,Drug,Cardiovascular system,2.57
118,2011,Drug,Blood and blood forming organs,0.95
119,2011,Drug,"Antiparasitic products, insecticides and repellents",0.02
120,2011,Drug,Antineoplastic and immunomodulating agents,1.88
121,2011,Drug,Antiinfectives for systemic use,2.24
122,2011,Drug,Alimentary tract and metabolism,4.08
123,2011,HCPCS,Vision Services,0.01
124,2011,HCPCS,Transport Services Including Ambulance,0.09
125,2011,HCPCS,Temporary Procedures/Professional Services,0.01
126,2011,HCPCS,Temporary National Codes Established Medicaid,0.03
127,2011,HCPCS,Temporary National Codes Established by Private Payers,0.02
128,2011,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.02
129,2011,HCPCS,Temporary Codes Assigned by CMS,0.07
130,2011,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.0
131,2011,HCPCS,Prosthetics,0.02
132,2011,HCPCS,Orthotics,0.0
133,2011,HCPCS,Medical and Surgical Supplies,1.23
134,2011,HCPCS,Laboratory Services,0.13
135,2011,HCPCS,Hearing Services,0.06
136,2011,HCPCS,Gradient Compression Stockings,0.0
137,2011,HCPCS,Enteral and Parenteral Therapy,0.04
138,2011,HCPCS,Durable Medical Equipment,0.13
139,2011,HCPCS,Drugs Other Than Chemotherapy,0.0
140,2011,HCPCS,Dental Procedures,0.01
141,2011,HCPCS,CMS Hospital Outpatient Payment System,0.38
142,2011,HCPCS,"Administrative, Miscellaneous and Investigational",0.04
143,2011,HCPCS,0,0.01
144,2011,Service,Undefined services,0.0
145,2011,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.0
146,2011,Service,Special Care Baby Unit (SCBU),0.0
147,2011,Service,Short Stay Room - Hourly Rate,0.0
148,2011,Service,Short Stay  Room - Daily Rate,0.0
149,2011,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.0
150,2011,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.0
151,2011,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.0
152,2011,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.0
153,2011,Service,Room and Board: Ward,0.04
154,2011,Service,Room and Board:  VIP Room,0.03
155,2011,Service,Room and Board:  Suite,0.01
156,2011,Service,Room and Board: Shared Room,0.36
157,2011,Service,Room and Board: Royal Suite,0.0
158,2011,Service,Room and Board: Private Room Standard Suite,0.0
159,2011,Service,Room and Board: Isolation Room,0.01
160,2011,Service,Room and Board: First Class Room,1.81
161,2011,Service,Recovery Room  - Hourly Rate,0.0
162,2011,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.04
163,2011,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.02
164,2011,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.08
165,2011,Service,Perdiem - Treatment or Observation Room - NOT inclusive of Laboratory and Radiology,0.31
166,2011,Service,Perdiem - Short Stay,0.19
167,2011,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.06
168,2011,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.0
169,2011,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.0
170,2011,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.06
171,2011,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.03
172,2011,Service,Perdiem - Non- Medical Escort accommodation - Daily Rate,0.02
173,2011,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.05
174,2011,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.02
175,2011,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.04
176,2011,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.27
177,2011,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.01
178,2011,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.07
179,2011,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,1.94
180,2011,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.27
181,2011,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.5
182,2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.03
183,2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.01
184,2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01
185,2011,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.7
186,2011,Service,Perdiem - Haemodialysis  (HD),0.84
187,2011,Service,Perdiem - Day Stay (Day Care) Room  - NOT inclusive of Laboratory and Radiology,0.11
188,2011,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.0
189,2011,Service,Perdiem - Day Stay (Day care) - Inclusive.,0.09
190,2011,Service,Perdiem - Companion Accommodation,0.0
191,2011,Service,Paediatric intensive care Unit (PICU),0.0
192,2011,Service,Outlier Payment,1.11
193,2011,Service,Operating Room Services - Minor Surgery,0.0
194,2011,Service,Operating Room Services - General Classification,0.09
195,2011,Service,Operating Room Services - First Hour,0.01
196,2011,Service,Operating Room Services - Every Additional 1/2 hr.,0.0
197,2011,Service,Nursery - General Classification,0.0
198,2011,Service,Neonatal Intensive Care Unit (NICU),0.0
199,2011,Service,Intensive Care Unit (ICU),0.01
200,2011,Service,Delivery Room,0.0
201,2011,Service,Day Stay (Day care) Room - Daily Rate,0.0
202,2011,Service,Coronary Care Unit (CCU),0.0
203,2011,Service,Consultation - Specialist - Follow Up within one week,0.0
204,2011,Service,Consultation - Specialist,0.98
205,2011,Service,Consultation - GP - Follow Up within one week,0.0
206,2011,Service,Consultation - GP,0.51
207,2011,Service,Consultation - Consultant - Follow Up within one week,0.0
208,2011,Service,Consultation - Consultant,0.51
209,2011,Service,"Comprehensive screening evaluation and management by clinician of an individual, including an age and gender appropriate history, questionnaire filling, examination, and ordering of laboratory/diagnostic procedures, new or established patient; 30-40 minut",0.04
210,2011,Service,"Comprehensive screening by a non-physician clinician of an individual, including vital signs, an age and gender appropriate history, coordination for ordering of laboratory/diagnostic procedures and questionnaire filling, new or established patient; 30-40",0.0
211,2011,Service,Catheterization Lab,0.0
212,2012,CPT,Urinary System,0.49
213,2012,CPT,Respiratory System,0.62
214,2012,CPT,Radiology,2.77
215,2012,CPT,Radiologic Guidance,0.0
216,2012,CPT,Radiation Oncology,0.18
217,2012,CPT,Pathology & Laboratory,19.7
218,2012,CPT,Operating Microscope,0.0
219,2012,CPT,Nuclear Medicine,0.36
220,2012,CPT,Nervous System,0.07
221,2012,CPT,,0.06
222,2012,CPT,Musculoskeletal,1.15
223,2012,CPT,Mediastinum & Diaphragm,0.0
224,2012,CPT,Maternity Care & Delivery,0.32
225,2012,CPT,Male Genital System,0.12
226,2012,CPT,Integumentary,0.74
227,2012,CPT,Hemic & Lymphatic Systems,0.01
228,2012,CPT,General,0.02
229,2012,CPT,Female Genital System,0.15
230,2012,CPT,Eye & Ocular Adnexa,0.63
231,2012,CPT,Evaluation & Management,13.47
232,2012,CPT,Endocrine System,0.01
233,2012,CPT,Digestive System,0.82
234,2012,CPT,Diagnostic Ultrasound,3.14
235,2012,CPT,Cardiovascular System,0.21
236,2012,CPT,Breast Mammography,0.05
237,2012,CPT,Bone/Joint Studies,0.04
238,2012,CPT,Auditory System,0.18
239,2012,CPT,Anesthesia,0.02
240,2012,Dental,Unclassified Treatments,0.01
241,2012,Dental,Test/Analysis/Laboratory Procedures/Interpretation And/Or Reports,0.0
242,2012,Dental,"Temporomandibular Joint Dysfunctions, Treatment Of",0.0
243,2012,Dental,"Template, Surgical (Includes Diagnostic Wax-Up.  Also Used To Locate And Orient Osseo-Integrated Implants)",0.0
244,2012,Dental,Surgical Incisions,0.0
245,2012,Dental,"Surgical Excisions (Not In Conjunction With Tooth Removal, Including Biopsy)",0.01
246,2012,Dental,"Space Maintainers
(Includes The Design, Separation, Fabrication, Insertion And Where Applicable Initial Cementation And Removal)",0.0
247,2012,Dental,"Root Canal Therapy
To Include: Treatment Plan, Clinical Procedures (I.E. Pulpectomy, Biomechanical Preparation, Chemotherapeutic Treatment And Obturation), With Appropriate Radiographs And Excluding Final Restoration.",0.29
248,2012,Dental,"Restorative Services, Other",0.01
249,2012,Dental,"Restorative Procedures, Overdentures",0.0
250,2012,Dental,"Restorations, Tooth Coloured/Plastic With/Without Silver Filings",0.93
251,2012,Dental,"Restorations, Pre-Fabricated, Full Coverage",0.04
252,2012,Dental,"Restorations, Inlays, Onlays, Pins And Posts",0.07
253,2012,Dental,"Restorations, Foil, Gold",0.0
254,2012,Dental,"Restorations, Amalgam",0.02
255,2012,Dental,Restoration,0.07
256,2012,Dental,Repairs,0.0
257,2012,Dental,"Removals, (Extractions), Surgical",0.1
258,2012,Dental,"Removals, (Extractions), Erupted Teeth",0.15
259,2012,Dental,"Remodelling And Recontouring Oral Tissues In Preparation For Removable Prostheses (To Include Codes 73110, 73120, 73140, 73150, 73160, 73170, 73180)",0.0
260,2012,Dental,"Recontouring Of Retainer/Pontics,
(Of Existing Bridgework)",0.0
261,2012,Dental,"Radiographs, Specialty Use Only",0.0
262,2012,Dental,Radiographs (Including Radiographic Examination And Diagnosis And Interpretation),0.17
263,2012,Dental,"Pulp Chamber, Treatment Of, (Excluding Final Restoration)",0.12
264,2012,Dental,Professional Services,0.38
265,2012,Dental,Primary Dentition,0.0
266,2012,Dental,"Preventive Services, Other",0.08
267,2012,Dental,"Pontics, Bridge",0.09
268,2012,Dental,Polishing,0.19
269,2012,Dental,Permanent Dentition,0.29
270,2012,Dental,"Periodontal Services, Surgical (Includes Local Anaesthetic, Suturing And The Placement And Removal Of Initial Surgical Dressing. A Surgical Site Is An Area That Lends Itself To One Or More Procedures. It Is Considered To Include A Full Quadrant, Sextant O",0.1
271,2012,Dental,"Periodontal Services, Non Surgical",0.0
272,2012,Dental,"Periodontal Services, Miscellaneous",0.0
273,2012,Dental,"Periodontal Procedures, Adjunctive (When Per Joint Is Designated, The Corresponding Tooth Code Is Represented By The Mesial Of The Tooth Involved, Except At The Midline, Where The Tooth To The Right Of The Joint Is Utilized.)",0.01
274,2012,Dental,Periapical Services,0.0
275,2012,Dental,"Orthodontic Services, Miscellaneous",0.01
276,2012,Dental,"Oral Surgery Procedures, Other",0.24
277,2012,Dental,Mixed Dentition,0.01
278,2012,Dental,"Mesostructures
(A Separate Component Positioned Between The Head Of An Implant And The Final Restoration, Retained By Either A Cemented Post Or Screw)",0.07
279,2012,Dental,"Maxillofacial Deformities, Treatment Of",0.0
280,2012,Dental,Master Cast Techniques,0.0
281,2012,Dental,"Laboratory And Expense Procedures (This Code Is Used In Conjunction With The ""+ L"" And ""+ E"" Designation Following Specific Codes In The Guide. The Addition Of These Codes Are To Facilitate Computer Or Manual Input For Third Party Claims Processing, Perso",0.01
282,2012,Dental,"Fractures, Treatment Of",0.0
283,2012,Dental,"Fixed Prosthetics, Other Services",0.01
284,2012,Dental,Fixed Bridge Retainers,0.14
285,2012,Dental,"Examination And Diagnosis, Clinical Oral",0.37
286,2012,Dental,"Endodontic, Procedures, Miscellaneous",0.02
287,2012,Dental,"Drugs/Medication, Dispensing",0.0
288,2012,Dental,"Dentures, Replication, Relining And Rebasing",0.0
289,2012,Dental,"Dentures, Repairs/Additions",0.0
290,2012,Dental,"Dentures, Partial, Cast With Acrylic Base",0.01
291,2012,Dental,"Dentures, Partial, Acrylic",0.02
292,2012,Dental,"Dentures, Complete (Includes: Impressions, Initial And Final Jaw Relation Records, Try-In Evaluation And Check Records, Insertion And Adjustments, Including Three Months Post Insertion Care.)",0.01
293,2012,Dental,"Dentures, Adjustments
(After Three Months Insertion Or By Other Than The Dentist Providing Prosthesis.)",0.0
294,2012,Dental,"Crowns, Single Units
(Only)",0.45
295,2012,Dental,Bleaching Vital,0.01
296,2012,Dental,"Appliances, Retention, Orthodontic Retaining Appliances",0.08
297,2012,Dental,"Appliances, Active, For Tooth Guidance Or Minor Tooth Movement",0.02
298,2012,Dental,Appliances,0.01
299,2012,Dental,"Anatomic Modifications (Reshaping, Recontouring, Or Occlusal Modifications Of A Natural Tooth Or Teeth, Single Or Multiple Restorations, Or The Inter-Articulation Of The Teeth)",0.0
300,2012,Dental,Anaesthesia,0.02
301,2012,DRG,Newborns & Other Neonates,4.22
302,2012,DRG,Mental Diseases & Disorders,0.15
303,2012,DRG,Medical Ambulatory Visits,0.0
304,2012,DRG,"Injuries, Poisonings & Toxic Effects Of Drugs",0.1
305,2012,DRG,Infectious & Parasitic Diseases Of Systemic Or Unspecified Sites,0.5
306,2012,DRG,Factors Influencing Health Status & Other Contacts With Health Services,0.08
307,2012,DRG,Diseases & Disorders Of The Urinary Tract,0.54
308,2012,DRG,"Diseases & Disorders Of The Skin, Subcutaneous Tissue & Breast",0.45
309,2012,DRG,Diseases & Disorders Of The Respiratory System,2.92
310,2012,DRG,Diseases & Disorders Of The Nervous System,0.8
311,2012,DRG,Diseases & Disorders Of The Myeloproliferative System & Poorly Differentiated Neoplasms,0.21
312,2012,DRG,Diseases & Disorders Of The Musculoskeletal System & Connective Tissue,1.24
313,2012,DRG,Diseases & Disorders Of The Male Reproductive System,0.12
314,2012,DRG,Diseases & Disorders Of The Hepatobiliary System & Pancreas,0.44
315,2012,DRG,Diseases & Disorders Of The Female Reproductive System,0.68
316,2012,DRG,Diseases & Disorders Of The Eye,0.06
317,2012,DRG,"Diseases & Disorders Of The Endocrine, Nutritional & Metabolic Systems",0.47
318,2012,DRG,"Diseases & Disorders Of The Ear, Nose, Mouth & Throat",0.58
319,2012,DRG,Diseases & Disorders Of The Digestive System,1.62
320,2012,DRG,Diseases & Disorders Of The Circulatory System,2.0
321,2012,DRG,"Diseases & Disorders Of Blood, Blood Forming Organs, Immunological System",0.24
322,2012,DRG,Childbirth,2.83
323,2012,DRG,Alcohol/Drug Abuse & Dependence,0.04
324,2012,Drug,Various,0.14
325,2012,Drug,"Systemic hormonal preparations, excluding sex hormones and insulins",0.28
326,2012,Drug,Sensory organs,0.43
327,2012,Drug,Respiratory system,1.66
328,2012,Drug,Nervous system,0.84
329,2012,Drug,,1.15
330,2012,Drug,Musculo-skeletal system,1.08
331,2012,Drug,Genito-urinary system and sex hormones,0.43
332,2012,Drug,Dermatologicals,0.47
333,2012,Drug,Cardiovascular system,3.06
334,2012,Drug,Blood and blood forming organs,1.12
335,2012,Drug,"Antiparasitic products, insecticides and repellents",0.05
336,2012,Drug,Antineoplastic and immunomodulating agents,2.17
337,2012,Drug,Antiinfectives for systemic use,2.5
338,2012,Drug,Alimentary tract and metabolism,5.2
339,2012,HCPCS,Vision Services,0.01
340,2012,HCPCS,Transport Services Including Ambulance,0.32
341,2012,HCPCS,Temporary Procedures/Professional Services,0.0
342,2012,HCPCS,Temporary National Codes Established Medicaid,0.06
343,2012,HCPCS,Temporary National Codes Established by Private Payers,0.01
344,2012,HCPCS,Temporary Codes assigned to DME Regional Carriers,0.05
345,2012,HCPCS,Temporary Codes Assigned by CMS,0.04
346,2012,HCPCS,"Respiratory Durable Medical Equipment, Inexpensive and Routinely Purchased",0.02
347,2012,HCPCS,Prosthetics,0.03
348,2012,HCPCS,Orthotics,0.06
349,2012,HCPCS,,0.0
350,2012,HCPCS,Medical and Surgical Supplies,0.94
351,2012,HCPCS,Laboratory Services,0.01
352,2012,HCPCS,Hearing Services,0.2
353,2012,HCPCS,Gradient Compression Stockings,0.0
354,2012,HCPCS,Enteral and Parenteral Therapy,0.16
355,2012,HCPCS,Durable Medical Equipment,0.61
356,2012,HCPCS,Drugs Other Than Chemotherapy,0.0
357,2012,HCPCS,Dental Procedures,0.0
358,2012,HCPCS,CMS Hospital Outpatient Payment System,0.07
359,2012,HCPCS,"Administrative, Miscellaneous and Investigational",0.06
360,2012,HCPCS,0,0.0
361,2012,Service,Special Care Unit (SCU) or Adult Special-Care Unit (ASCU),0.0
362,2012,Service,Special Care Baby Unit (SCBU),0.0
363,2012,Service,Short Stay Room - Hourly Rate,0.0
364,2012,Service,Short Stay  Room - Daily Rate,0.0
365,2012,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - VIP Room,0.0
366,2012,Service,Room Rate difference - Daily Rate  (Day 1 and more ) - Suite,0.0
367,2012,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - Royal Suite,0.0
368,2012,Service,Room Rate difference - Daily Rate  (Day 1 and more  ) - Isolation Room,0.0
369,2012,Service,Room Rate difference - Daily Rate   (Day 1 and more  ) - First Class Room,0.03
370,2012,Service,Room and Board: Ward,0.01
371,2012,Service,Room and Board:  VIP Room,0.0
372,2012,Service,Room and Board:  Suite,0.0
373,2012,Service,Room and Board: Shared Room,0.02
374,2012,Service,Room and Board: Royal Suite,0.0
375,2012,Service,Room and Board: Isolation Room,0.0
376,2012,Service,Room and Board: First Class Room,0.15
377,2012,Service,Recovery Room  - Hourly Rate,0.0
378,2012,Service,Perdiem  - Ward or Shared Room - Daily Rate  (Day 8 and more),0.01
379,2012,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 4 to 8),0.02
380,2012,Service,Perdiem  - Ward or Shared Room - Daily Rate (Day 1 to 3),0.19
381,2012,Service,Perdiem - Treatment or Observation Room - NOT inclusive of Laboratory and Radiology,0.18
382,2012,Service,Perdiem - Short Stay,0.27
383,2012,Service,Perdiem - SCU - Daily Rate (Day 9 and more),0.0
384,2012,Service,Perdiem - SCU - Daily Rate (Day 4 to 8),0.0
385,2012,Service,Perdiem - SCU - Daily Rate (Day 1 to 3),0.01
386,2012,Service,Perdiem - SCBU  - Daily Rate  (Day 9 and more),0.0
387,2012,Service,Perdiem - SCBU  - Daily Rate (Day 4 to 8),0.0
388,2012,Service,Perdiem - SCBU  - Daily Rate (Day 1 to 3),0.0
389,2012,Service,Perdiem - PICU - Daily Rate  (Day 22 and more),0.01
390,2012,Service,Perdiem - PICU - Daily Rate (Day 15 to 21),0.0
391,2012,Service,Perdiem - PICU - Daily Rate (Day 8 to 14),0.0
392,2012,Service,Perdiem - PICU - Daily Rate (Day 1 to 7),0.0
393,2012,Service,Perdiem - Non- Medical Escort accommodation - Daily Rate,0.0
394,2012,Service,Perdiem - NICU - Daily Rate (Day 22 and more),0.01
395,2012,Service,Perdiem - NICU - Daily Rate (Day 15 to 21),0.0
396,2012,Service,Perdiem - NICU - Daily Rate (Day 8 to 14),0.01
397,2012,Service,Perdiem - NICU - Daily Rate (Day 1 to 7),0.03
398,2012,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 4 to 8),0.0
399,2012,Service,Perdiem - New-born Nursery  -  Daily Rate (Day 1 to 3),0.0
400,2012,Service,Perdiem - Long Term Stay - Daily Rate - Simple Cases,0.38
401,2012,Service,Perdiem - Long Term Stay - Daily Rate - Severe Cases,2.74
402,2012,Service,Perdiem - Long Term Stay - Daily Rate - Intermediate Cases,0.22
403,2012,Service,Perdiem - Long Term Stay - Daily Rate - Intensive Cases,0.35
404,2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 22 and more),0.0
405,2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 15 to 21),0.0
406,2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 8 to 14),0.01
407,2012,Service,Perdiem - ICU/CCU - Daily Rate (Day 1 to 7),0.11
408,2012,Service,Perdiem - Haemodialysis  (HD),0.78
409,2012,Service,Perdiem - Day Stay (Day care) Surgical Case - Inclusive.,0.19
410,2012,Service,Perdiem - Day Stay (Day Care) Room  - NOT inclusive of Laboratory and Radiology,0.1
411,2012,Service,Perdiem - Day Stay (Day care) Medical Case - Inclusive.,0.02
412,2012,Service,Perdiem - Day Stay (Day care) - Inclusive.,0.15
